cv_rmse: 3.9836834750808436
test_rmse: 3.6348439839497977
dataset_size_importance: 0.018669918
genetic_importance: 0.023037326
geographic_importance: 0.0048189973
syntactic_importance: 0.0061642835
inventory_importance: 0.0058509232
phonological_importance: 0.0058442033
featural_importance: 0.0073588686
dev_size_importance: 0.0041291993
test_size_importance: 0.0055561876
train_word_vocab_size_importance: 0.012949506
dev_word_vocab_size_importance: 0.014340052
test_word_vocab_size_importance: 0.006598136
avg_train_sentence_length_importance: 0.011617352
avg_dev_sentence_length_importance: 0.007544481
avg_test_sentence_length_importance: 0.0059758797
train_dev_word_overlap_importance: 0.02048065
train_test_word_overlap_importance: 0.012831494
dev_test_word_overlap_importance: 0.008409602
ttr_train_importance: 0.0091402745
ttr_dev_importance: 0.0065765404
ttr_test_importance: 0.004654398
train_dev_ttr_distance_importance: 0.008646478
train_test_ttr_distance_importance: 0.006568514
dev_test_ttr_distance_importance: 0.0033541843
train_dev_jsd_importance: 0.008656474
train_test_jsd_importance: 0.020989936
dev_test_jsd_importance: 0.0057977038
train_dev_tf_idf_importance: 0.00897769
train_test_tf_idf_importance: 0.0076022064
dev_test_tf_idf_importance: 0.004886393
train_dev_st_similarity_importance: 0.0062125497
train_test_st_similarity_importance: 0.018631132
dev_test_st_similarity_importance: 0.003742297
eng_target_importance: 0.0043863216
trfm_spBLEU_mean_importance: 0.113135755
small100_noft_spBLEU_mean_importance: 0.020227175
small100_ft_spBLEU_mean_importance: 0.5162156
m2m100_noft_spBLEU_mean_importance: 0.039421298
eta: 0.03325147302616306
n_estimators: 3800.0
cv_rmse_se: 0.14960192991736596
test_rmse_se: 0.14902011824116124
nlperf_only: False
dataset_features: True
lang_features: True
with_trfm: True
with_small100_ft: True
with_small100_noft: True
with_model_noft: True
