cv_rmse: 3.97114282239596
test_rmse: 3.6674380000650024
dataset_size_importance: 0.019094368
genetic_importance: 0.031565897
geographic_importance: 0.005959024
syntactic_importance: 0.004901465
inventory_importance: 0.008895801
phonological_importance: 0.010333571
featural_importance: 0.004849159
dev_size_importance: 0.005661465
test_size_importance: 0.0048328247
train_word_vocab_size_importance: 0.010271996
dev_word_vocab_size_importance: 0.006163086
test_word_vocab_size_importance: 0.0076530566
avg_train_sentence_length_importance: 0.010869859
avg_dev_sentence_length_importance: 0.005621569
avg_test_sentence_length_importance: 0.0050146533
train_dev_word_overlap_importance: 0.01940696
train_test_word_overlap_importance: 0.016833376
dev_test_word_overlap_importance: 0.007469566
ttr_train_importance: 0.007000214
ttr_dev_importance: 0.005743535
ttr_test_importance: 0.0044280263
train_dev_ttr_distance_importance: 0.007339526
train_test_ttr_distance_importance: 0.0056102006
dev_test_ttr_distance_importance: 0.0036774627
train_dev_jsd_importance: 0.008949663
train_test_jsd_importance: 0.010978399
dev_test_jsd_importance: 0.005545325
train_dev_tf_idf_importance: 0.00995401
train_test_tf_idf_importance: 0.008149584
dev_test_tf_idf_importance: 0.004053288
train_dev_st_similarity_importance: 0.0060216067
train_test_st_similarity_importance: 0.012889515
dev_test_st_similarity_importance: 0.003583612
eng_target_importance: 0.0050524357
morphological_importance: 0.0035615326
trfm_spBLEU_mean_importance: 0.15685539
small100_noft_spBLEU_mean_importance: 0.022261411
small100_ft_spBLEU_mean_importance: 0.48308787
m2m100_noft_spBLEU_mean_importance: 0.039859705
eta: 0.029655073590282143
n_estimators: 3100.0
cv_rmse_se: 0.1520544806807093
test_rmse_se: 0.15454357434857038
nlperf_only: False
dataset_features: True
lang_features: True
with_trfm: True
with_small100_ft: True
with_small100_noft: True
with_model_noft: True
