cv_rmse: 3.7542044629748794
test_rmse: 3.7967108410562127
dataset_size_importance: 0.006031214
genetic_importance: 0.0036063567
geographic_importance: 0.006918838
syntactic_importance: 0.006253348
inventory_importance: 0.0052793315
phonological_importance: 0.006350284
featural_importance: 0.0042599295
dev_size_importance: 0.021714017
test_size_importance: 0.004442309
train_word_vocab_size_importance: 0.013992575
dev_word_vocab_size_importance: 0.011244278
test_word_vocab_size_importance: 0.0068535493
avg_train_sentence_length_importance: 0.0071677878
avg_dev_sentence_length_importance: 0.006940634
avg_test_sentence_length_importance: 0.009414636
train_dev_word_overlap_importance: 0.00463138
train_test_word_overlap_importance: 0.004544633
dev_test_word_overlap_importance: 0.0092790425
ttr_train_importance: 0.007961667
ttr_dev_importance: 0.01774486
ttr_test_importance: 0.0036829733
train_dev_ttr_distance_importance: 0.0076068146
train_test_ttr_distance_importance: 0.004964256
dev_test_ttr_distance_importance: 0.0046836785
train_dev_jsd_importance: 0.00972314
train_test_jsd_importance: 0.0043315506
dev_test_jsd_importance: 0.0058176755
train_dev_tf_idf_importance: 0.007961403
train_test_tf_idf_importance: 0.007004286
dev_test_tf_idf_importance: 0.004075377
train_dev_st_similarity_importance: 0.01569222
train_test_st_similarity_importance: 0.011358233
dev_test_st_similarity_importance: 0.0062077646
eng_target_importance: 0.014240807
trfm_spBLEU_mean_importance: 0.01786953
small100_noft_spBLEU_mean_importance: 0.0035242501
small100_ft_spBLEU_mean_importance: 0.06290947
nllb_noft_spBLEU_mean_importance: 0.64371586
eta: 0.01624218992829936
n_estimators: 3600.0
cv_rmse_se: 0.14568057813519952
test_rmse_se: 0.3669019604784259
nlperf_only: False
dataset_features: True
lang_features: True
with_trfm: True
with_small100_ft: True
with_small100_noft: True
with_model_noft: True
