cv_rmse: 1.953443512963306
test_rmse: 1.7611052855408016
dataset_size_importance: 0.015239386
genetic_importance: 0.009111756
geographic_importance: 0.037118193
syntactic_importance: 0.009211904
inventory_importance: 0.023282552
phonological_importance: 0.014787013
featural_importance: 0.007106797
avg_train_sentence_length_importance: 0.015928587
avg_dev_sentence_length_importance: 0.018116081
avg_test_sentence_length_importance: 0.008295646
ttr_train_importance: 0.0050309943
ttr_dev_importance: 0.0
ttr_test_importance: 0.0
train_dev_ttr_distance_importance: 0.009563966
train_test_ttr_distance_importance: 0.008267559
dev_test_ttr_distance_importance: 0.009166534
train_dev_jsd_importance: 0.009831535
train_test_jsd_importance: 0.010749412
dev_test_jsd_importance: 0.023317711
train_dev_tf_idf_importance: 0.0054569608
train_test_tf_idf_importance: 0.01351898
dev_test_tf_idf_importance: 0.01032011
train_dev_st_similarity_importance: 0.009286336
train_test_st_similarity_importance: 0.005753191
dev_test_st_similarity_importance: 0.020214438
trfm_spBLEU_mean_importance: 0.024377171
small100_noft_spBLEU_mean_importance: 0.014186667
small100_ft_spBLEU_mean_importance: 0.49520913
nllb_noft_spBLEU_mean_importance: 0.16755144
eta: 0.05525218174258697
n_estimators: 3150.0
cv_rmse_se: 0.09259817138713847
test_rmse_se: 0.42424428634468353
nlperf_only: False
dataset_features: True
lang_features: True
with_trfm: True
with_small100_ft: True
with_small100_noft: True
with_model_noft: True
