cv_rmse: 4.574564214294403
test_rmse: 4.270577085361112
genetic_importance: 0.12889181
geographic_importance: 0.14022043
syntactic_importance: 0.20259455
inventory_importance: 0.15450826
phonological_importance: 0.21918304
featural_importance: 0.15460189
eta: 0.07689316962239677
n_estimators: 4100.0
cv_rmse_se: 0.14231298743625573
test_rmse_se: 0.3667107061440894
nlperf_only: False
dataset_features: False
lang_features: True
with_trfm: False
with_small100_ft: False
with_small100_noft: False
with_model_noft: False
