cv_rmse: 14.299315041574479
test_rmse: 14.380516042967773
genetic_importance: 0.11516844
geographic_importance: 0.11426671
syntactic_importance: 0.1336742
inventory_importance: 0.13881823
phonological_importance: 0.18340352
featural_importance: 0.14393035
morphological_importance: 0.17073853
eta: 0.052382258782216515
n_estimators: 3550.0
cv_rmse_se: 0.29621384716089966
test_rmse_se: 0.4265730360383437
nlperf_only: False
dataset_features: False
lang_features: True
with_trfm: False
with_small100_ft: False
with_small100_noft: False
with_model_noft: False
