source_lang,target_lang,genetic,geographic,syntactic,inventory,phonological,featural,morphological,scriptural
sinh1246,stan1293,0.9047,0.3273,0.649,0.4991,0.3695,0.5673,0.5489,0.5096
stan1293,cebu1242,1.0,0.4046,0.5896,0.5371,0.3141,0.5743,0.7323,0.1864
stan1293,amha1245,1.0,0.2286,0.5814,0.492,0.3578,0.5454,0.5922,0.4878
faro1244,stan1293,0.7323,0.044,0.4184,0.4697,0.1789,0.4697,0.7106,0.1864
stan1293,nucl1235,0.8767,0.1503,0.565,0.5064,0.4413,0.5556,0.6491,0.2677
stan1293,kirg1245,1.0,0.2167,0.6567,0.5503,0.3931,0.5914,0.5765,0.2952
stan1293,haus1257,1.0,0.1885,0.4278,0.5337,0.4225,0.4834,0.5713,0.2952
amha1245,stan1293,1.0,0.2286,0.5814,0.492,0.3578,0.5454,0.5922,0.4878
stan1293,sind1272,0.9131,0.2493,0.5849,0.494,0.3418,0.5429,0.619,0.5319
taga1270,stan1293,1.0,0.3864,0.5814,0.461,0.3141,0.5551,0.7655,0.3333
stan1293,nucl1417,1.0,0.2142,0.5726,0.4772,0.4413,0.5521,0.7323,0.1864
stan1293,cent1989,1.0,0.3638,0.5392,0.5101,0.47,0.5517,0.7532,0.5829
lomb1257,stan1293,0.9359,0.0449,0.4253,0.4796,0.2566,0.4611,0.5754,0.1864
stan1293,ewee1241,1.0,0.2049,0.5851,0.5249,0.4697,0.5706,0.6936,0.1864
stan1293,sinh1246,0.9047,0.3273,0.649,0.4991,0.3695,0.5673,0.5489,0.5096
stan1293,tami1289,1.0,0.3158,0.6682,0.5014,0.1789,0.5777,0.6018,0.5319
egyp1253,stan1293,1.0,0.1433,0.5849,0.4688,0.3743,0.5421,0.6233,0.5096
stan1293,plat1254,1.0,0.3437,0.6323,0.5093,0.2513,0.5828,0.6812,0.2952
stan1293,luxe1241,0.6336,0.0255,0.7264,0.7509,0.7434,0.7493,0.86,0.1864
stan1293,mara1378,0.9131,0.2901,0.5956,0.4513,0.319,0.5503,0.6919,0.5354
kaza1248,stan1293,1.0,0.1977,0.8558,0.5879,0.5741,0.7356,0.645,0.2952
stan1293,xhos1239,1.0,0.3573,0.622,0.5032,0.3931,0.5846,0.7003,0.1864
zulu1248,stan1293,1.0,0.3423,0.6429,0.5582,0.4918,0.6266,0.768,0.1864
mara1378,stan1293,0.9131,0.2901,0.5956,0.4513,0.319,0.5503,0.6919,0.5354
stan1293,kaza1248,1.0,0.1977,0.8558,0.5879,0.5741,0.7356,0.645,0.2952
