source_lang,target_lang,genetic,geographic,syntactic,inventory,phonological,featural,morphological,scriptural
beta1252,bima1247,0.5257,0.0034,0.6639,0.7341,0.6162,0.6973,0.7498,0.0
beta1252,indo1316,0.125,0.0002,0.5448,0.3918,0.3333,0.4849,0.5335,0.3455
beta1252,java1254,0.5257,0.0012,0.5399,0.5,0.4407,0.5127,0.427,0.0
beta1252,nucl1460,0.3675,0.0009,0.5729,0.5182,0.3333,0.5278,0.4576,0.3455
beta1252,maka1311,0.567,0.0042,0.6015,0.3224,0.2804,0.5168,0.6373,0.2566
beta1252,mina1268,0.125,0.0057,0.5466,0.3671,0.3333,0.4643,0.4034,0.3455
beta1252,sund1252,0.3675,0.0,0.461,0.4259,0.2804,0.4436,0.5058,0.3455
bima1247,beta1252,0.5257,0.0034,0.6639,0.7341,0.6162,0.6973,0.7498,0.0
bima1247,indo1316,0.5257,0.002,0.6384,0.669,0.5456,0.6563,0.7266,0.3455
bima1247,java1254,0.4,0.0031,0.642,0.611,0.5456,0.6392,0.738,0.0
bima1247,nucl1460,0.4,0.0008,0.6528,0.6328,0.5456,0.6501,0.7266,0.3455
bima1247,maka1311,0.4523,0.0003,0.6676,0.6929,0.5687,0.6675,0.6545,0.2566
bima1247,mina1268,0.5257,0.0163,0.6602,0.6784,0.5456,0.6675,0.7156,0.3455
bima1247,sund1252,0.4,0.0033,0.5968,0.6832,0.5687,0.6408,0.7048,0.3455
indo1316,beta1252,0.125,0.0002,0.5448,0.3918,0.3333,0.4849,0.5335,0.3455
indo1316,bima1247,0.5257,0.002,0.6384,0.669,0.5456,0.6563,0.7266,0.3455
indo1316,java1254,0.5257,0.0012,0.3083,0.3606,0.3729,0.3477,0.409,0.3455
indo1316,nucl1460,0.3675,0.0003,0.3894,0.4158,0.2617,0.4043,0.5132,0.0
indo1316,maka1311,0.567,0.0027,0.5392,0.3516,0.1864,0.477,0.623,0.4225
indo1316,mina1268,0.125,0.008,0.5185,0.2541,0.2617,0.4182,0.4685,0.0
indo1316,sund1252,0.3675,0.0002,0.519,0.3483,0.1864,0.4634,0.6116,0.0
java1254,beta1252,0.5257,0.0012,0.5399,0.5,0.4407,0.5127,0.427,0.0
java1254,bima1247,0.4,0.0031,0.642,0.611,0.5456,0.6392,0.738,0.0
java1254,indo1316,0.5257,0.0012,0.3083,0.3606,0.3729,0.3477,0.409,0.3455
java1254,nucl1460,0.4,0.0012,0.3375,0.3285,0.2617,0.3357,0.409,0.3455
java1254,maka1311,0.4523,0.0027,0.5176,0.4722,0.3277,0.5127,0.6545,0.2566
java1254,mina1268,0.5257,0.006,0.5132,0.3871,0.3729,0.4442,0.3548,0.3455
java1254,sund1252,0.4,0.0014,0.5137,0.4477,0.3277,0.479,0.4646,0.3455
nucl1460,beta1252,0.3675,0.0009,0.5729,0.5182,0.3333,0.5278,0.4576,0.3455
nucl1460,bima1247,0.4,0.0008,0.6528,0.6328,0.5456,0.6501,0.7266,0.3455
nucl1460,indo1316,0.3675,0.0003,0.3894,0.4158,0.2617,0.4043,0.5132,0.0
nucl1460,java1254,0.4,0.0012,0.3375,0.3285,0.2617,0.3357,0.409,0.3455
nucl1460,maka1311,0.4523,0.0012,0.518,0.435,0.1864,0.4955,0.6695,0.4225
nucl1460,mina1268,0.3675,0.0102,0.5298,0.4664,0.2617,0.4802,0.4685,0.0
nucl1460,sund1252,0.2,0.0009,0.5538,0.3806,0.1864,0.4892,0.6116,0.0
maka1311,beta1252,0.567,0.0042,0.6015,0.3224,0.2804,0.5168,0.6373,0.2566
maka1311,bima1247,0.4523,0.0003,0.6676,0.6929,0.5687,0.6675,0.6545,0.2566
maka1311,indo1316,0.567,0.0027,0.5392,0.3516,0.1864,0.477,0.623,0.4225
maka1311,java1254,0.4523,0.0027,0.5176,0.4722,0.3277,0.5127,0.6545,0.2566
maka1311,nucl1460,0.4523,0.0012,0.518,0.435,0.1864,0.4955,0.6695,0.4225
maka1311,mina1268,0.567,0.0163,0.606,0.2839,0.1864,0.4969,0.6385,0.4225
maka1311,sund1252,0.4523,0.0041,0.6676,0.4093,0.0,0.5793,0.7351,0.4225
mina1268,beta1252,0.125,0.0057,0.5466,0.3671,0.3333,0.4643,0.4034,0.3455
mina1268,bima1247,0.5257,0.0163,0.6602,0.6784,0.5456,0.6675,0.7156,0.3455
mina1268,indo1316,0.125,0.008,0.5185,0.2541,0.2617,0.4182,0.4685,0.0
mina1268,java1254,0.5257,0.006,0.5132,0.3871,0.3729,0.4442,0.3548,0.3455
mina1268,nucl1460,0.3675,0.0102,0.5298,0.4664,0.2617,0.4802,0.4685,0.0
mina1268,maka1311,0.567,0.0163,0.606,0.2839,0.1864,0.4969,0.6385,0.4225
mina1268,sund1252,0.3675,0.0061,0.4992,0.4154,0.1864,0.4494,0.4513,0.0
sund1252,beta1252,0.3675,0.0,0.461,0.4259,0.2804,0.4436,0.5058,0.3455
sund1252,bima1247,0.4,0.0033,0.5968,0.6832,0.5687,0.6408,0.7048,0.3455
sund1252,indo1316,0.3675,0.0002,0.519,0.3483,0.1864,0.4634,0.6116,0.0
sund1252,java1254,0.4,0.0014,0.5137,0.4477,0.3277,0.479,0.4646,0.3455
sund1252,nucl1460,0.2,0.0009,0.5538,0.3806,0.1864,0.4892,0.6116,0.0
sund1252,maka1311,0.4523,0.0041,0.6676,0.4093,0.0,0.5793,0.7351,0.4225
sund1252,mina1268,0.3675,0.0061,0.4992,0.4154,0.1864,0.4494,0.4513,0.0
