source_lang,target_lang,genetic,geographic,syntactic,inventory,phonological,featural,morphological
sinh1246,stan1293,[0.9047],[0.3273],[0.7175],[0.4991],[0.3695],[0.6289],[0.6465]
faro1244,stan1293,[0.7323],[0.044],[0.561],[0.4812],[0.2566],[0.5613],[0.7684]
stan1293,kirg1245,[1.0],[0.2167],[0.7264],[0.5503],[0.3931],[0.6498],[0.6667]
stan1293,sind1272,[0.9131],[0.2493],[0.6791],[0.494],[0.3418],[0.6135],[0.6983]
lomb1257,stan1293,[0.9359],[0.0449],[0.5603],[0.4911],[0.2566],[0.549],[0.6658]
stan1293,sinh1246,[0.9047],[0.3273],[0.7175],[0.4991],[0.3695],[0.6289],[0.6465]
stan1293,luxe1241,[0.6336],[0.0255],[0.7886],[0.7857],[0.7434],[0.7964],[0.8869]
kaza1248,stan1293,[1.0],[0.1977],[0.8957],[0.5879],[0.5741],[0.7751],[0.6736]
stan1293,kaza1248,[1.0],[0.1977],[0.8957],[0.5879],[0.5741],[0.7751],[0.6736]
tata1255,stan1293,[1.0],[0.1323],[0.7109],[0.5274],[0.2566],[0.6424],[0.684]
stan1293,yoru1245,[1.0],[0.2026],[0.6804],[0.5093],[0.5049],[0.6533],[0.9496]
stan1293,tata1255,[1.0],[0.1323],[0.7109],[0.5274],[0.2566],[0.6424],[0.684]
yoru1245,stan1293,[1.0],[0.2026],[0.6804],[0.5093],[0.5049],[0.6533],[0.9496]
stan1293,guja1252,[0.9196],[0.2639],[0.6678],[0.4753],[0.2513],[0.5994],[0.6969]
stan1293,wels1247,[0.9131],[0.0095],[0.6234],[0.4681],[0.3021],[0.5859],[0.7279]
bela1254,stan1293,[0.8934],[0.0725],[0.6125],[0.5141],[0.319],[0.5966],[0.7117]
stan1293,occi1239,[0.9359],[0.0469],[0.5536],[0.4697],[0.2566],[0.5425],[0.6892]
wels1247,stan1293,[0.9131],[0.0095],[0.6234],[0.4681],[0.3021],[0.5859],[0.7279]
swat1243,stan1293,[1.0],[0.3446],[0.7259],[0.5058],[0.3743],[0.6479],[0.7196]
stan1293,lomb1257,[0.9359],[0.0449],[0.5603],[0.4911],[0.2566],[0.549],[0.6658]
guja1252,stan1293,[0.9196],[0.2639],[0.6678],[0.4753],[0.2513],[0.5994],[0.6969]
stan1293,swat1243,[1.0],[0.3446],[0.7259],[0.5058],[0.3743],[0.6479],[0.7196]
stan1293,sout2832,[1.0],[0.2191],[0.6597],[0.6054],[0.5426],[0.6459],[0.6736]
stan1293,chha1249,[0.9131],[0.2951],[0.6597],[0.6054],[0.5426],[0.6459],[0.6736]
stan1293,faro1244,[0.7323],[0.044],[0.561],[0.4812],[0.2566],[0.5613],[0.7684]
stan1293,turk1304,[1.0],[0.1941],[0.7421],[0.4823],[0.2566],[0.6512],[0.696]
stan1293,bela1254,[0.8934],[0.0725],[0.6125],[0.5141],[0.319],[0.5966],[0.7117]
stan1293,kiny1244,[1.0],[0.2595],[0.7234],[0.5182],[0.5335],[0.6656],[0.7771]
occi1239,stan1293,[0.9359],[0.0469],[0.5536],[0.4697],[0.2566],[0.5425],[0.6892]
sind1272,stan1293,[0.9131],[0.2493],[0.6791],[0.494],[0.3418],[0.6135],[0.6983]
kiny1244,stan1293,[1.0],[0.2595],[0.7234],[0.5182],[0.5335],[0.6656],[0.7771]
turk1304,stan1293,[1.0],[0.1941],[0.7421],[0.4823],[0.2566],[0.6512],[0.696]
chha1249,stan1293,[0.9131],[0.2951],[0.6597],[0.6054],[0.5426],[0.6459],[0.6736]
sout2832,stan1293,[1.0],[0.2191],[0.6597],[0.6054],[0.5426],[0.6459],[0.6736]
luxe1241,stan1293,[0.6336],[0.0255],[0.7886],[0.7857],[0.7434],[0.7964],[0.8869]
kirg1245,stan1293,[1.0],[0.2167],[0.7264],[0.5503],[0.3931],[0.6498],[0.6667]
