source_lang,target_lang,genetic,geographic,syntactic,inventory,phonological,featural,morphological
sinh1246,stan1293,0.9047,0.3273,0.6334,0.4991,0.3141,0.5566,0.5489
stan1293,cebu1242,1.0,0.4046,0.5833,0.5371,0.3141,0.5716,0.7323
stan1293,amha1245,1.0,0.2286,0.5814,0.492,0.3578,0.5471,0.5999
faro1244,stan1293,0.7323,0.044,0.4184,0.4697,0.319,0.477,0.7106
stan1293,nucl1235,0.8767,0.1503,0.5679,0.5064,0.4413,0.5572,0.6491
stan1293,kirg1245,1.0,0.2167,0.6527,0.5503,0.3931,0.5915,0.5897
stan1293,haus1257,1.0,0.1885,0.4302,0.5337,0.4225,0.4869,0.5815
amha1245,stan1293,1.0,0.2286,0.5814,0.492,0.3578,0.5471,0.5999
stan1293,sind1272,0.9131,0.2493,0.5941,0.494,0.3418,0.5466,0.619
taga1270,stan1293,1.0,0.3864,0.5776,0.461,0.3141,0.5535,0.7655
stan1293,nucl1417,1.0,0.2142,0.5876,0.4772,0.4413,0.5592,0.7323
stan1293,cent1989,1.0,0.3638,0.5392,0.5101,0.47,0.5517,0.7532
lomb1257,stan1293,0.9359,0.0449,0.433,0.4796,0.2566,0.4647,0.5754
stan1293,ewee1241,1.0,0.2049,0.5851,0.5249,0.4697,0.5706,0.6936
stan1293,sinh1246,0.9047,0.3273,0.6334,0.4991,0.3141,0.5566,0.5489
stan1293,tami1289,1.0,0.3158,0.6682,0.5014,0.1789,0.5777,0.6018
egyp1253,stan1293,1.0,0.1433,0.5662,0.4688,0.3743,0.5336,0.6233
stan1293,plat1254,1.0,0.3437,0.6471,0.5093,0.2513,0.5898,0.6812
stan1293,luxe1241,0.6336,0.0255,0.7369,0.7857,0.7434,0.7655,0.86
stan1293,mara1378,0.9131,0.2901,0.5956,0.4513,0.319,0.5503,0.6919
kaza1248,stan1293,1.0,0.1977,0.8558,0.576,0.5741,0.7307,0.645
stan1293,xhos1239,1.0,0.3573,0.622,0.5032,0.3931,0.5829,0.6943
zulu1248,stan1293,1.0,0.3423,0.6503,0.5582,0.4918,0.63,0.768
mara1378,stan1293,0.9131,0.2901,0.5956,0.4513,0.319,0.5503,0.6919
stan1293,kaza1248,1.0,0.1977,0.8558,0.576,0.5741,0.7307,0.645
stan1293,panj1256,0.9131,0.2534,0.5933,0.4336,0.2513,0.535,0.6534
nucl1235,stan1293,0.8767,0.1503,0.5679,0.5064,0.4413,0.5572,0.6491
xhos1239,stan1293,1.0,0.3573,0.622,0.5032,0.3931,0.5829,0.6943
nucl1305,stan1293,1.0,0.3013,0.6695,0.4738,0.2566,0.5726,0.5713
stan1293,egyp1253,1.0,0.1433,0.5662,0.4688,0.3743,0.5336,0.6233
nucl1310,stan1293,1.0,0.319,0.6594,0.3323,0.238,0.5421,0.649
java1254,stan1293,1.0,0.4052,0.5418,0.4438,0.409,0.5267,0.7532
stan1293,nucl1310,1.0,0.319,0.6594,0.3323,0.238,0.5421,0.649
tami1289,stan1293,1.0,0.3158,0.6682,0.5014,0.1789,0.5777,0.6018
tata1255,stan1293,1.0,0.1323,0.629,0.5371,0.2566,0.5806,0.5999
stan1293,nucl1302,1.0,0.154,0.5942,0.5667,0.4685,0.5949,0.6712
stan1293,yoru1245,1.0,0.2026,0.5958,0.5093,0.5049,0.5957,0.9378
stan1293,tata1255,1.0,0.1323,0.629,0.5371,0.2566,0.5806,0.5999
stan1293,taga1270,1.0,0.3864,0.5776,0.461,0.3141,0.5535,0.7655
stan1293,indo1316,1.0,0.4185,0.5392,0.4546,0.2513,0.5114,0.6782
afri1274,stan1293,0.6638,0.3303,0.4403,0.4774,0.3931,0.4659,0.5625
indo1316,stan1293,1.0,0.4185,0.5392,0.4546,0.2513,0.5114,0.6782
soma1255,stan1293,1.0,0.2629,0.5739,0.4645,0.4477,0.5287,0.5509
yoru1245,stan1293,1.0,0.2026,0.5958,0.5093,0.5049,0.5957,0.9378
stan1293,guja1252,0.9196,0.2639,0.5713,0.4753,0.2513,0.5234,0.6044
nucl1347,stan1293,1.0,0.1752,0.4582,0.4731,0.3743,0.4904,0.6638
stan1293,wels1247,0.9131,0.0095,0.5103,0.4565,0.3021,0.505,0.658
bela1254,stan1293,0.8934,0.0725,0.5013,0.5119,0.319,0.5202,0.614
stan1293,occi1239,0.9359,0.0469,0.4175,0.4681,0.2566,0.4563,0.6068
wels1247,stan1293,0.9131,0.0095,0.5103,0.4565,0.3021,0.505,0.658
stan1293,nucl1305,1.0,0.3013,0.6695,0.4738,0.2566,0.5726,0.5713
swat1243,stan1293,1.0,0.3446,0.6479,0.5058,0.319,0.5815,0.6471
stan1293,lomb1257,0.9359,0.0449,0.433,0.4796,0.2566,0.4647,0.5754
guja1252,stan1293,0.9196,0.2639,0.5713,0.4753,0.2513,0.5234,0.6044
stan1293,afri1274,0.6638,0.3303,0.4403,0.4774,0.3931,0.4659,0.5625
stan1293,swat1243,1.0,0.3446,0.6479,0.5058,0.319,0.5815,0.6471
stan1293,zulu1248,1.0,0.3423,0.6503,0.5582,0.4918,0.63,0.768
stan1293,bash1264,1.0,0.15,0.6072,0.4286,0.3224,0.542,0.6638
ewee1241,stan1293,1.0,0.2049,0.5851,0.5249,0.4697,0.5706,0.6936
cent1989,stan1293,1.0,0.3638,0.5392,0.5101,0.47,0.5517,0.7532
bash1264,stan1293,1.0,0.15,0.6072,0.4286,0.3224,0.542,0.6638
stan1293,java1254,1.0,0.4052,0.5418,0.4438,0.409,0.5267,0.7532
stan1293,soma1255,1.0,0.2629,0.5739,0.4645,0.4477,0.5287,0.5509
stan1293,sout2832,1.0,0.2191,0.5569,0.5983,0.5228,0.5829,0.645
plat1254,stan1293,1.0,0.3437,0.6471,0.5093,0.2513,0.5898,0.6812
nucl1302,stan1293,1.0,0.154,0.5942,0.5667,0.4685,0.5949,0.6712
haus1257,stan1293,1.0,0.1885,0.4302,0.5337,0.4225,0.4869,0.5815
stan1293,chha1249,0.9131,0.2951,0.5569,0.5983,0.5228,0.5829,0.645
panj1256,stan1293,0.9131,0.2534,0.5933,0.4336,0.2513,0.535,0.6534
stan1293,faro1244,0.7323,0.044,0.4184,0.4697,0.319,0.477,0.7106
stan1293,turk1304,1.0,0.1941,0.6696,0.4938,0.1789,0.5895,0.616
cebu1242,stan1293,1.0,0.4046,0.5833,0.5371,0.3141,0.5716,0.7323
stan1293,bela1254,0.8934,0.0725,0.5013,0.5119,0.319,0.5202,0.614
stan1293,kiny1244,1.0,0.2595,0.6689,0.5182,0.5335,0.6158,0.7125
occi1239,stan1293,0.9359,0.0469,0.4175,0.4681,0.2566,0.4563,0.6068
sind1272,stan1293,0.9131,0.2493,0.5941,0.494,0.3418,0.5466,0.619
stan1293,maor1246,1.0,0.5179,0.5702,0.6198,0.6169,0.6179,0.7634
kiny1244,stan1293,1.0,0.2595,0.6689,0.5182,0.5335,0.6158,0.7125
shon1251,stan1293,1.0,0.3141,0.6727,0.5348,0.409,0.6203,0.7112
maor1246,stan1293,1.0,0.5179,0.5702,0.6198,0.6169,0.6179,0.7634
turk1304,stan1293,1.0,0.1941,0.6696,0.4938,0.1789,0.5895,0.616
chha1249,stan1293,0.9131,0.2951,0.5569,0.5983,0.5228,0.5829,0.645
sout2832,stan1293,1.0,0.2191,0.5569,0.5983,0.5228,0.5829,0.645
luxe1241,stan1293,0.6336,0.0255,0.7369,0.7857,0.7434,0.7655,0.86
nucl1417,stan1293,1.0,0.2142,0.5876,0.4772,0.4413,0.5592,0.7323
stan1293,shon1251,1.0,0.3141,0.6727,0.5348,0.409,0.6203,0.7112
kirg1245,stan1293,1.0,0.2167,0.6527,0.5503,0.3931,0.5915,0.5897
stan1293,nucl1347,1.0,0.1752,0.4582,0.4731,0.3743,0.4904,0.6638
