source_lang,target_lang,genetic,geographic,syntactic,inventory,phonological,featural,morphological
stan1293,cebu1242,[1.0],[0.4046],[0.6722],[0.5371],[0.3141],[0.634],[0.7854]
stan1293,amha1245,[1.0],[0.2286],[0.6696],[0.492],[0.3578],[0.6125],[0.6783]
stan1293,nucl1235,[0.8767],[0.1503],[0.6576],[0.5064],[0.4413],[0.6207],[0.7211]
stan1293,haus1257,[1.0],[0.1885],[0.567],[0.5337],[0.4225],[0.5704],[0.6892]
amha1245,stan1293,[1.0],[0.2286],[0.6696],[0.492],[0.3578],[0.6125],[0.6783]
taga1270,stan1293,[1.0],[0.3864],[0.6671],[0.461],[0.3141],[0.6188],[0.8116]
stan1293,nucl1417,[1.0],[0.2142],[0.6655],[0.4772],[0.4413],[0.6191],[0.7854]
stan1293,cent1989,[1.0],[0.3638],[0.6388],[0.5101],[0.5184],[0.6222],[0.8099]
stan1293,ewee1241,[1.0],[0.2049],[0.6724],[0.5249],[0.4697],[0.6328],[0.7553]
stan1293,tami1289,[1.0],[0.3158],[0.7352],[0.5014],[0.1789],[0.6387],[0.6854]
egyp1253,stan1293,[1.0],[0.1433],[0.6668],[0.4688],[0.3743],[0.6071],[0.7015]
stan1293,plat1254,[1.0],[0.3437],[0.7134],[0.5093],[0.2513],[0.6471],[0.7509]
stan1293,mara1378,[0.9131],[0.2901],[0.6802],[0.4513],[0.319],[0.6164],[0.754]
stan1293,xhos1239,[1.0],[0.3573],[0.7],[0.5032],[0.3931],[0.6443],[0.7604]
zulu1248,stan1293,[1.0],[0.3423],[0.7158],[0.5582],[0.4918],[0.6801],[0.8174]
mara1378,stan1293,[0.9131],[0.2901],[0.6802],[0.4513],[0.319],[0.6164],[0.754]
stan1293,panj1256,[0.9131],[0.2534],[0.6682],[0.4336],[0.2513],[0.5989],[0.7244]
nucl1235,stan1293,[0.8767],[0.1503],[0.6576],[0.5064],[0.4413],[0.6207],[0.7211]
xhos1239,stan1293,[1.0],[0.3573],[0.7],[0.5032],[0.3931],[0.6443],[0.7604]
nucl1305,stan1293,[1.0],[0.3013],[0.7362],[0.4738],[0.2566],[0.6345],[0.6629]
stan1293,egyp1253,[1.0],[0.1433],[0.6668],[0.4688],[0.3743],[0.6071],[0.7015]
nucl1310,stan1293,[1.0],[0.319],[0.7338],[0.3323],[0.3021],[0.6152],[0.721]
java1254,stan1293,[1.0],[0.4052],[0.6407],[0.4438],[0.409],[0.5929],[0.7675]
stan1293,nucl1310,[1.0],[0.319],[0.7338],[0.3323],[0.3021],[0.6152],[0.721]
tami1289,stan1293,[1.0],[0.3158],[0.7352],[0.5014],[0.1789],[0.6387],[0.6854]
stan1293,nucl1302,[1.0],[0.154],[0.6814],[0.5667],[0.4918],[0.6551],[0.738]
stan1293,taga1270,[1.0],[0.3864],[0.6671],[0.461],[0.3141],[0.6188],[0.8116]
stan1293,indo1316,[1.0],[0.4185],[0.6388],[0.4546],[0.3141],[0.5882],[0.7434]
afri1274,stan1293,[0.6638],[0.3303],[0.636],[0.4922],[0.4225],[0.6019],[0.684]
indo1316,stan1293,[1.0],[0.4185],[0.6388],[0.4546],[0.3141],[0.5882],[0.7434]
soma1255,stan1293,[1.0],[0.2629],[0.6538],[0.4645],[0.4477],[0.5951],[0.6545]
nucl1347,stan1293,[1.0],[0.1752],[0.567],[0.4731],[0.4225],[0.5635],[0.7323]
stan1293,nucl1305,[1.0],[0.3013],[0.7362],[0.4738],[0.2566],[0.6345],[0.6629]
stan1293,afri1274,[0.6638],[0.3303],[0.636],[0.4922],[0.4225],[0.6019],[0.684]
stan1293,zulu1248,[1.0],[0.3423],[0.7158],[0.5582],[0.4918],[0.6801],[0.8174]
stan1293,bash1264,[1.0],[0.15],[0.6917],[0.4286],[0.3224],[0.6111],[0.7323]
ewee1241,stan1293,[1.0],[0.2049],[0.6724],[0.5249],[0.4697],[0.6328],[0.7553]
cent1989,stan1293,[1.0],[0.3638],[0.6388],[0.5101],[0.5184],[0.6222],[0.8099]
bash1264,stan1293,[1.0],[0.15],[0.6917],[0.4286],[0.3224],[0.6111],[0.7323]
stan1293,java1254,[1.0],[0.4052],[0.6407],[0.4438],[0.409],[0.5929],[0.7675]
stan1293,soma1255,[1.0],[0.2629],[0.6538],[0.4645],[0.4477],[0.5951],[0.6545]
plat1254,stan1293,[1.0],[0.3437],[0.7134],[0.5093],[0.2513],[0.6471],[0.7509]
nucl1302,stan1293,[1.0],[0.154],[0.6814],[0.5667],[0.4918],[0.6551],[0.738]
haus1257,stan1293,[1.0],[0.1885],[0.567],[0.5337],[0.4225],[0.5704],[0.6892]
panj1256,stan1293,[0.9131],[0.2534],[0.6682],[0.4336],[0.2513],[0.5989],[0.7244]
cebu1242,stan1293,[1.0],[0.4046],[0.6722],[0.5371],[0.3141],[0.634],[0.7854]
stan1293,maor1246,[1.0],[0.5179],[0.6613],[0.6198],[0.6169],[0.6717],[0.8099]
shon1251,stan1293,[1.0],[0.3141],[0.7338],[0.5348],[0.4878],[0.6753],[0.7689]
maor1246,stan1293,[1.0],[0.5179],[0.6613],[0.6198],[0.6169],[0.6717],[0.8099]
nucl1417,stan1293,[1.0],[0.2142],[0.6655],[0.4772],[0.4413],[0.6191],[0.7854]
stan1293,shon1251,[1.0],[0.3141],[0.7338],[0.5348],[0.4878],[0.6753],[0.7689]
stan1293,nucl1347,[1.0],[0.1752],[0.567],[0.4731],[0.4225],[0.5635],[0.7323]
