source_lang,target_lang,genetic,geographic,syntactic,inventory,phonological,featural,morphological
sinh1246,stan1293,[0.9047],[0.3273],[0.5959],[0.4991],[0.2804],[0.4949],
faro1244,stan1293,[0.7323],[0.044],[0.4094],,,[0.5033],[0.7106]
stan1293,kirg1245,[1.0],[0.2167],[0.5996],[0.5503],[0.409],[0.542],
stan1293,sind1272,[0.9131],[0.2493],,[0.494],[0.3695],[0.4753],
lomb1257,stan1293,[0.9359],[0.0449],[0.4398],,,[0.486],[0.5754]
stan1293,sinh1246,[0.9047],[0.3273],[0.5959],[0.4991],[0.2804],[0.4949],
stan1293,luxe1241,[0.6336],[0.0255],[0.3613],,[0.0],[0.3613],
kaza1248,stan1293,[1.0],[0.1977],[0.6667],,[0.0],[0.5354],
stan1293,kaza1248,[1.0],[0.1977],[0.6667],,[0.0],[0.5354],
tata1255,stan1293,[1.0],[0.1323],[0.6205],,[0.0],[0.6082],[0.5999]
stan1293,yoru1245,[1.0],[0.2026],[0.603],[0.5093],[0.4788],[0.541],
stan1293,tata1255,[1.0],[0.1323],[0.6205],,[0.0],[0.6082],[0.5999]
stan1293,wels1247,[0.9131],[0.0095],[0.4924],,,[0.5383],[0.6854]
yoru1245,stan1293,[1.0],[0.2026],[0.603],[0.5093],[0.4788],[0.541],
stan1293,guja1252,[0.9196],[0.2639],[0.5456],[0.4753],[0.2048],[0.4696],
bela1254,stan1293,[0.8934],[0.0725],[0.5256],,,[0.5608],[0.6267]
stan1293,occi1239,[0.9359],[0.0469],[0.4169],,,[0.4762],[0.6068]
wels1247,stan1293,[0.9131],[0.0095],[0.4924],,,[0.5383],[0.6854]
swat1243,stan1293,[1.0],[0.3446],[0.4744],,,[0.4744],
stan1293,lomb1257,[0.9359],[0.0449],[0.4398],,,[0.486],[0.5754]
guja1252,stan1293,[0.9196],[0.2639],[0.5456],[0.4753],[0.2048],[0.4696],
stan1293,swat1243,[1.0],[0.3446],[0.4744],,,[0.4744],
stan1293,sout2832,[1.0],[0.2191],,,,,
stan1293,chha1249,[0.9131],[0.2951],,,,,
stan1293,faro1244,[0.7323],[0.044],[0.4094],,,[0.5033],[0.7106]
stan1293,turk1304,[1.0],[0.1941],[0.6603],,[0.0],[0.6391],[0.616]
stan1293,bela1254,[0.8934],[0.0725],[0.5256],,,[0.5608],[0.6267]
stan1293,kiny1244,[1.0],[0.2595],[0.6351],[0.5182],[0.5064],[0.5471],
occi1239,stan1293,[0.9359],[0.0469],[0.4169],,,[0.4762],[0.6068]
sind1272,stan1293,[0.9131],[0.2493],,[0.494],[0.3695],[0.4753],
kiny1244,stan1293,[1.0],[0.2595],[0.6351],[0.5182],[0.5064],[0.5471],
turk1304,stan1293,[1.0],[0.1941],[0.6603],,[0.0],[0.6391],[0.616]
chha1249,stan1293,[0.9131],[0.2951],,,,,
sout2832,stan1293,[1.0],[0.2191],,,,,
luxe1241,stan1293,[0.6336],[0.0255],[0.3613],,[0.0],[0.3613],
kirg1245,stan1293,[1.0],[0.2167],[0.5996],[0.5503],[0.409],[0.542],
