source_lang,target_lang,genetic,geographic,syntactic,inventory,phonological,featural,morphological,scriptural
beta1252,bima1247,0.6854,0.0528,0.6639,0.7341,0.6162,0.6973,0.7498,0.6936
beta1252,indo1316,0.3217,0.0133,0.5448,0.3918,0.3743,0.4876,0.5335,0.0
beta1252,java1254,0.6854,0.0313,0.5348,0.5,0.4407,0.5024,0.3277,0.0
beta1252,nucl1460,0.5641,0.0274,0.5713,0.4927,0.3333,0.5191,0.4576,0.0
beta1252,maka1311,0.7149,0.0581,0.5903,0.3641,0.2804,0.5168,0.6267,0.4235
beta1252,mina1268,0.3217,0.0681,0.5353,0.3671,0.3333,0.4583,0.4034,0.0
beta1252,sund1252,0.5641,0.0032,0.4502,0.3911,0.2804,0.4286,0.5058,0.0
bima1247,beta1252,0.6854,0.0528,0.6639,0.7341,0.6162,0.6973,0.7498,0.6936
bima1247,indo1316,0.6854,0.0399,0.6384,0.669,0.5228,0.6548,0.7266,0.6936
bima1247,java1254,0.5903,0.0501,0.6456,0.611,0.5456,0.6408,0.738,0.6936
bima1247,nucl1460,0.5903,0.0257,0.642,0.6328,0.5456,0.6454,0.7266,0.6936
bima1247,maka1311,0.631,0.0148,0.6639,0.6929,0.5687,0.6675,0.6642,0.369
bima1247,mina1268,0.6854,0.1152,0.6565,0.6784,0.5456,0.6659,0.7156,0.6936
bima1247,sund1252,0.5903,0.0518,0.6036,0.6832,0.5687,0.6438,0.7048,0.6936
indo1316,beta1252,0.3217,0.0133,0.5448,0.3918,0.3743,0.4876,0.5335,0.0
indo1316,bima1247,0.6854,0.0399,0.6384,0.669,0.5228,0.6548,0.7266,0.6936
indo1316,java1254,0.6854,0.0314,0.2972,0.3606,0.3141,0.348,0.4878,0.0
indo1316,nucl1460,0.5641,0.015,0.3944,0.4158,0.1789,0.4008,0.5132,0.0
indo1316,maka1311,0.7149,0.0466,0.5289,0.3516,0.2566,0.4718,0.6118,0.4235
indo1316,mina1268,0.3217,0.0804,0.5082,0.2541,0.3141,0.4164,0.4685,0.0
indo1316,sund1252,0.5641,0.012,0.5243,0.3483,0.2566,0.4684,0.6116,0.0
java1254,beta1252,0.6854,0.0313,0.5348,0.5,0.4407,0.5024,0.3277,0.0
java1254,bima1247,0.5903,0.0501,0.6456,0.611,0.5456,0.6408,0.738,0.6936
java1254,indo1316,0.6854,0.0314,0.2972,0.3606,0.3141,0.348,0.4878,0.0
java1254,nucl1460,0.5903,0.031,0.3348,0.3285,0.2617,0.3347,0.409,0.0
java1254,maka1311,0.631,0.0469,0.5014,0.4722,0.3277,0.503,0.6445,0.4235
java1254,mina1268,0.6854,0.07,0.5136,0.3871,0.3729,0.4526,0.439,0.0
java1254,sund1252,0.5903,0.0337,0.5279,0.4477,0.3277,0.4925,0.5319,0.0
nucl1460,beta1252,0.5641,0.0274,0.5713,0.4927,0.3333,0.5191,0.4576,0.0
nucl1460,bima1247,0.5903,0.0257,0.642,0.6328,0.5456,0.6454,0.7266,0.6936
nucl1460,indo1316,0.5641,0.015,0.3944,0.4158,0.1789,0.4008,0.5132,0.0
nucl1460,java1254,0.5903,0.031,0.3348,0.3285,0.2617,0.3347,0.409,0.0
nucl1460,maka1311,0.631,0.0317,0.507,0.435,0.1864,0.4881,0.66,0.4235
nucl1460,mina1268,0.5641,0.0912,0.519,0.4664,0.2617,0.4757,0.4685,0.0
nucl1460,sund1252,0.4097,0.0268,0.547,0.3806,0.1864,0.4848,0.6116,0.0
maka1311,beta1252,0.7149,0.0581,0.5903,0.3641,0.2804,0.5168,0.6267,0.4235
maka1311,bima1247,0.631,0.0148,0.6639,0.6929,0.5687,0.6675,0.6642,0.369
maka1311,indo1316,0.7149,0.0466,0.5289,0.3516,0.2566,0.4718,0.6118,0.4235
maka1311,java1254,0.631,0.0469,0.5014,0.4722,0.3277,0.503,0.6445,0.4235
maka1311,nucl1460,0.631,0.0317,0.507,0.435,0.1864,0.4881,0.66,0.4235
maka1311,mina1268,0.7149,0.1151,0.584,0.2839,0.1864,0.4838,0.6279,0.4235
maka1311,sund1252,0.631,0.058,0.6531,0.4093,0.0,0.5688,0.7278,0.4235
mina1268,beta1252,0.3217,0.0681,0.5353,0.3671,0.3333,0.4583,0.4034,0.0
mina1268,bima1247,0.6854,0.1152,0.6565,0.6784,0.5456,0.6659,0.7156,0.6936
mina1268,indo1316,0.3217,0.0804,0.5082,0.2541,0.3141,0.4164,0.4685,0.0
mina1268,java1254,0.6854,0.07,0.5136,0.3871,0.3729,0.4526,0.439,0.0
mina1268,nucl1460,0.5641,0.0912,0.519,0.4664,0.2617,0.4757,0.4685,0.0
mina1268,maka1311,0.7149,0.1151,0.584,0.2839,0.1864,0.4838,0.6279,0.4235
mina1268,sund1252,0.5641,0.0705,0.4804,0.4154,0.1864,0.4388,0.4513,0.0
sund1252,beta1252,0.5641,0.0032,0.4502,0.3911,0.2804,0.4286,0.5058,0.0
sund1252,bima1247,0.5903,0.0518,0.6036,0.6832,0.5687,0.6438,0.7048,0.6936
sund1252,indo1316,0.5641,0.012,0.5243,0.3483,0.2566,0.4684,0.6116,0.0
sund1252,java1254,0.5903,0.0337,0.5279,0.4477,0.3277,0.4925,0.5319,0.0
sund1252,nucl1460,0.4097,0.0268,0.547,0.3806,0.1864,0.4848,0.6116,0.0
sund1252,maka1311,0.631,0.058,0.6531,0.4093,0.0,0.5688,0.7278,0.4235
sund1252,mina1268,0.5641,0.0705,0.4804,0.4154,0.1864,0.4388,0.4513,0.0
