source_lang,target_lang,genetic,geographic,syntactic,inventory,phonological,featural,morphological
beta1252,bima1247,[0.6854],[0.0528],,,,,
beta1252,indo1316,[0.3217],[0.0133],[0.522],,,[0.526],[0.5354]
beta1252,java1254,[0.6854],[0.0313],[0.5354],,,[0.5117],[0.439]
beta1252,nucl1460,[0.5641],[0.0274],[0.6183],,,[0.5538],[0.4054]
beta1252,maka1311,[0.7149],[0.0581],[0.5198],,,[0.5803],[0.6755]
beta1252,mina1268,[0.3217],[0.0681],[0.5622],,,[0.5212],[0.3862]
beta1252,sund1252,[0.5641],[0.0032],[0.4625],,,[0.4661],[0.4788]
bima1247,beta1252,[0.6854],[0.0528],,,,,
bima1247,indo1316,[0.6854],[0.0399],,,,,
bima1247,java1254,[0.5903],[0.0501],,,,,
bima1247,nucl1460,[0.5903],[0.0257],,,,,
bima1247,maka1311,[0.631],[0.0148],,,,,
bima1247,mina1268,[0.6854],[0.1152],,,,,
bima1247,sund1252,[0.5903],[0.0518],,,,,
indo1316,beta1252,[0.3217],[0.0133],[0.522],,,[0.526],[0.5354]
indo1316,bima1247,[0.6854],[0.0399],,,,,
java1254,beta1252,[0.6854],[0.0313],[0.5354],,,[0.5117],[0.439]
java1254,bima1247,[0.5903],[0.0501],,,,,
nucl1460,beta1252,[0.5641],[0.0274],[0.6183],,,[0.5538],[0.4054]
nucl1460,bima1247,[0.5903],[0.0257],,,,,
maka1311,beta1252,[0.7149],[0.0581],[0.5198],,,[0.5803],[0.6755]
maka1311,bima1247,[0.631],[0.0148],,,,,
mina1268,beta1252,[0.3217],[0.0681],[0.5622],,,[0.5212],[0.3862]
mina1268,bima1247,[0.6854],[0.1152],,,,,
sund1252,beta1252,[0.5641],[0.0032],[0.4625],,,[0.4661],[0.4788]
sund1252,bima1247,[0.5903],[0.0518],,,,,
