source_lang,target_lang,scriptural
sinh1246,stan1293,0.5959
stan1293,cebu1242,0.0
stan1293,amha1245,0.638
faro1244,stan1293,0.0
stan1293,nucl1235,0.2513
stan1293,kirg1245,0.4469
stan1293,haus1257,0.3799
amha1245,stan1293,0.638
stan1293,sind1272,0.6863
taga1270,stan1293,0.0
stan1293,nucl1417,0.0
stan1293,cent1989,0.6657
lomb1257,stan1293,0.0
stan1293,ewee1241,0.0
stan1293,sinh1246,0.5959
stan1293,tami1289,0.6116
egyp1253,stan1293,0.5959
stan1293,plat1254,0.0
stan1293,luxe1241,0.0
stan1293,mara1378,0.6774
kaza1248,stan1293,0.403
stan1293,xhos1239,0.0
zulu1248,stan1293,0.0
mara1378,stan1293,0.6774
stan1293,kaza1248,0.403
stan1293,panj1256,0.6863
nucl1235,stan1293,0.2513
xhos1239,stan1293,0.0
nucl1305,stan1293,0.6116
stan1293,egyp1253,0.5959
nucl1310,stan1293,0.6657
java1254,stan1293,0.0
stan1293,nucl1310,0.6657
tami1289,stan1293,0.6116
tata1255,stan1293,0.1722
stan1293,nucl1302,0.3695
stan1293,yoru1245,0.0
stan1293,tata1255,0.1722
stan1293,taga1270,0.0
stan1293,indo1316,0.0
afri1274,stan1293,0.3799
indo1316,stan1293,0.0
soma1255,stan1293,0.3799
yoru1245,stan1293,0.0
stan1293,guja1252,0.6774
nucl1347,stan1293,0.0
stan1293,wels1247,0.0
bela1254,stan1293,0.403
stan1293,occi1239,0.0
wels1247,stan1293,0.0
stan1293,nucl1305,0.6116
swat1243,stan1293,0.0
stan1293,lomb1257,0.0
guja1252,stan1293,0.6774
stan1293,afri1274,0.3799
stan1293,swat1243,0.0
stan1293,zulu1248,0.0
stan1293,bash1264,0.1722
ewee1241,stan1293,0.0
cent1989,stan1293,0.6657
bash1264,stan1293,0.1722
stan1293,java1254,0.0
stan1293,soma1255,0.3799
stan1293,sout2832,0.0
plat1254,stan1293,0.0
nucl1302,stan1293,0.3695
haus1257,stan1293,0.3799
stan1293,chha1249,0.6879
panj1256,stan1293,0.6863
stan1293,faro1244,0.0
stan1293,turk1304,0.1722
cebu1242,stan1293,0.0
stan1293,bela1254,0.403
stan1293,kiny1244,0.0
occi1239,stan1293,0.0
sind1272,stan1293,0.6863
stan1293,maor1246,0.0
kiny1244,stan1293,0.0
shon1251,stan1293,0.0
maor1246,stan1293,0.0
turk1304,stan1293,0.1722
chha1249,stan1293,0.6879
sout2832,stan1293,0.0
luxe1241,stan1293,0.0
nucl1417,stan1293,0.0
stan1293,shon1251,0.0
kirg1245,stan1293,0.4469
stan1293,nucl1347,0.0
