source_lang,target_lang,scriptural
beta1252,bima1247,0.6936
beta1252,indo1316,0.0
beta1252,java1254,0.0
beta1252,nucl1460,0.0
beta1252,maka1311,0.4235
beta1252,mina1268,0.0
beta1252,sund1252,0.0
bima1247,beta1252,0.6936
bima1247,indo1316,0.6936
bima1247,java1254,0.6936
bima1247,nucl1460,0.6936
bima1247,maka1311,0.369
bima1247,mina1268,0.6936
bima1247,sund1252,0.6936
indo1316,beta1252,0.0
indo1316,bima1247,0.6936
indo1316,java1254,0.0
indo1316,nucl1460,0.0
indo1316,maka1311,0.4235
indo1316,mina1268,0.0
indo1316,sund1252,0.0
java1254,beta1252,0.0
java1254,bima1247,0.6936
java1254,indo1316,0.0
java1254,nucl1460,0.0
java1254,maka1311,0.4235
java1254,mina1268,0.0
java1254,sund1252,0.0
nucl1460,beta1252,0.0
nucl1460,bima1247,0.6936
nucl1460,indo1316,0.0
nucl1460,java1254,0.0
nucl1460,maka1311,0.4235
nucl1460,mina1268,0.0
nucl1460,sund1252,0.0
maka1311,beta1252,0.4235
maka1311,bima1247,0.369
maka1311,indo1316,0.4235
maka1311,java1254,0.4235
maka1311,nucl1460,0.4235
maka1311,mina1268,0.4235
maka1311,sund1252,0.4235
mina1268,beta1252,0.0
mina1268,bima1247,0.6936
mina1268,indo1316,0.0
mina1268,java1254,0.0
mina1268,nucl1460,0.0
mina1268,maka1311,0.4235
mina1268,sund1252,0.0
sund1252,beta1252,0.0
sund1252,bima1247,0.6936
sund1252,indo1316,0.0
sund1252,java1254,0.0
sund1252,nucl1460,0.0
sund1252,maka1311,0.4235
sund1252,mina1268,0.0
