source_lang,target_lang,train_dataset,dataset_size,test_dataset,m2m100_ft_spBLEU_mean,m2m100_ft_spBLEU_se,m2m100_ft_chrF2++_mean,m2m100_ft_chrF2++_se,m2m100_ft_BLEU_mean,m2m100_ft_BLEU_se,m2m100_ft_chrF2_mean,m2m100_ft_chrF2_se,m2m100_ft_TER_mean,m2m100_ft_TER_se,m2m100_ft_comet_score_mean,m2m100_ft_comet_score_se,m2m100_noft_spBLEU_mean,m2m100_noft_spBLEU_se,m2m100_noft_chrF2++_mean,m2m100_noft_chrF2++_se,m2m100_noft_BLEU_mean,m2m100_noft_BLEU_se,m2m100_noft_chrF2_mean,m2m100_noft_chrF2_se,m2m100_noft_TER_mean,m2m100_noft_TER_se,m2m100_noft_comet_score_mean,m2m100_noft_comet_score_se,small100_ft_spBLEU_mean,small100_ft_spBLEU_se,small100_ft_chrF2++_mean,small100_ft_chrF2++_se,small100_ft_BLEU_mean,small100_ft_BLEU_se,small100_ft_chrF2_mean,small100_ft_chrF2_se,small100_ft_TER_mean,small100_ft_TER_se,small100_ft_comet_score_mean,small100_ft_comet_score_se,small100_noft_spBLEU_mean,small100_noft_spBLEU_se,small100_noft_chrF2++_mean,small100_noft_chrF2++_se,small100_noft_BLEU_mean,small100_noft_BLEU_se,small100_noft_chrF2_mean,small100_noft_chrF2_se,small100_noft_TER_mean,small100_noft_TER_se,small100_noft_comet_score_mean,small100_noft_comet_score_se,nllb_ft_spBLEU_mean,nllb_ft_spBLEU_se,nllb_ft_chrF2++_mean,nllb_ft_chrF2++_se,nllb_ft_BLEU_mean,nllb_ft_BLEU_se,nllb_ft_chrF2_mean,nllb_ft_chrF2_se,nllb_ft_TER_mean,nllb_ft_TER_se,nllb_ft_comet_score_mean,nllb_ft_comet_score_se,nllb_noft_spBLEU_mean,nllb_noft_spBLEU_se,nllb_noft_chrF2++_mean,nllb_noft_chrF2++_se,nllb_noft_BLEU_mean,nllb_noft_BLEU_se,nllb_noft_chrF2_mean,nllb_noft_chrF2_se,nllb_noft_TER_mean,nllb_noft_TER_se,nllb_noft_comet_score_mean,nllb_noft_comet_score_se,trfm_spBLEU_mean,trfm_spBLEU_se,trfm_chrF2++_mean,trfm_chrF2++_se,trfm_BLEU_mean,trfm_BLEU_se,trfm_chrF2_mean,trfm_chrF2_se,trfm_TER_mean,trfm_TER_se,trfm_comet_score_mean,trfm_comet_score_se,genetic,geographic,syntactic,inventory,phonological,featural,dev_size,test_size,train_word_vocab_size,dev_word_vocab_size,test_word_vocab_size,avg_train_sentence_length,avg_dev_sentence_length,avg_test_sentence_length,train_dev_word_overlap,train_test_word_overlap,dev_test_word_overlap,ttr_train,ttr_dev,ttr_test,train_dev_ttr_distance,train_test_ttr_distance,dev_test_ttr_distance,train_dev_jsd,train_test_jsd,dev_test_jsd,train_dev_tf_idf,train_test_tf_idf,dev_test_tf_idf,train_dev_st_similarity,train_test_st_similarity,dev_test_st_similarity,eng_target,morphological
eng,ceb,OPUS_bible,29084,OPUS_bible,26.5,0.8,52.9,0.6,21.1,0.9,55.2,0.6,61.2,1.1,0.6795,0.0644,4.0,0.5,23.4,0.8,3.7,0.5,25.0,0.7,89.5,1.8,0.5326,0.0834,25.6,0.8,52.0,0.6,20.7,0.9,54.1,0.6,61.6,1.1,0.6769,0.0658,2.4,0.4,17.3,0.7,2.1,0.5,19.0,0.7,91.1,1.0,0.4757,0.1078,35.0,0.9,58.9,0.6,28.6,1.0,60.7,0.6,53.2,1.2,0.7033,0.0665,31.0,0.9,55.8,0.7,25.8,1.0,57.7,0.7,54.7,1.0,0.6918,0.0672,19.6,0.7,45.6,0.6,14.9,0.7,47.6,0.5,70.6,1.4,0.6425,0.0681,1.0,0.4046,0.5439,0.5371,0.2952,0.5487,1000.0,1000.0,35.0,25.0,24.0,130.60231062820205,118.202,137.816,0.4166666666666667,0.4067796610169492,0.4897959183673469,9.214631676691746e-06,0.0002115023434459,0.0001741452371277,0.9147630969517097,0.8969728638045849,0.0460175247752759,0.0491192289410205,0.0531030925986408,0.0229274125838493,0.0021431917436491,0.0020570186697526,0.0006172458163216,0.0201424956321716,0.0174199342727661,0.0049354434013366,0.0,0.7168
eng,ceb,OPUS_bible,29084,flores,11.5,0.6,38.9,0.5,8.2,0.5,41.0,0.5,79.6,1.4,0.5897,0.0777,16.6,0.9,40.6,0.7,12.7,0.8,42.2,0.7,70.1,1.1,0.64,0.0901,8.1,0.5,34.0,0.6,5.7,0.4,35.8,0.7,98.6,4.5,0.5398,0.0933,16.3,1.0,38.1,1.0,12.8,0.8,39.7,1.0,70.6,1.2,0.6084,0.1224,30.8,0.9,56.5,0.6,23.7,0.9,58.7,0.6,55.5,1.0,0.7031,0.0785,33.6,1.0,56.9,0.7,25.7,1.0,59.1,0.7,51.9,1.0,0.7106,0.0771,3.8,0.3,28.4,0.4,2.8,0.3,30.1,0.4,99.6,2.0,0.5013,0.0598,1.0,0.4046,0.5439,0.5371,0.2952,0.5487,1000.0,1012.0,35.0,25.0,38.0,130.60231062820205,118.202,128.37450592885375,0.4166666666666667,0.4794520547945205,0.3968253968253968,9.214631676691746e-06,0.0002115023434459,0.0002924989416156,0.9147630969517097,0.9379861905499088,0.0766805042540284,0.04911922894102,0.093835896776944,0.1035346980056241,0.0021431917436491,0.0066251933020789,0.0048005451632621,0.0201424956321716,0.0665789246559143,0.0463709831237793,0.0,0.7168
eng,ceb,OPUS_bible,29084,MT560_OPUS_Tatoeba,4.6,1.4,30.2,1.4,1.7,1.3,32.9,1.4,129.1,6.1,0.5985,0.1093,2.5,1.0,21.1,1.4,1.5,1.2,22.3,1.5,126.2,6.1,0.5516,0.0986,4.9,1.7,28.4,1.6,2.2,1.3,30.9,1.6,132.9,6.7,0.5788,0.1103,2.1,1.6,18.6,1.5,1.4,1.2,19.6,1.5,126.8,6.6,0.5467,0.117,11.0,2.2,36.9,1.9,5.9,2.1,39.8,1.9,106.8,5.0,0.6393,0.1193,14.2,2.6,40.6,2.0,8.7,2.7,43.4,2.1,96.2,5.2,0.6604,0.1202,2.7,1.1,24.1,1.3,0.6,0.7,26.2,1.4,150.0,7.3,0.5479,0.1024,1.0,0.4046,0.5439,0.5371,0.2952,0.5487,1000.0,373.0,35.0,25.0,27.0,130.60231062820205,118.202,21.083109919571047,0.4166666666666667,0.4354838709677419,0.4615384615384615,9.214631676691746e-06,0.0002115023434459,0.0034333672431332,0.9147630969517097,0.9946395094406268,0.8805907765935932,0.0491192289410205,0.0841355365935672,0.0778779473127109,0.0021431917436491,0.0137468404778802,0.0109542266481204,0.0201424956321716,0.2065268754959106,0.2095232605934143,0.0,0.7168
eng,ceb,OPUS_bible,29084,MT560_WikiMatrix,2.1,0.3,19.9,0.3,0.6,0.2,21.3,0.4,138.7,3.4,0.4786,0.08,5.2,0.6,22.7,0.6,3.1,0.6,24.0,0.6,122.1,2.0,0.4924,0.0958,1.2,0.2,17.4,0.3,0.3,0.1,18.5,0.3,186.1,6.6,0.4349,0.0763,6.3,0.7,23.4,0.7,4.1,0.7,24.8,0.7,116.4,1.9,0.501,0.1071,4.4,0.5,21.8,0.6,2.1,0.5,23.3,0.6,117.8,2.0,0.5011,0.0974,4.3,0.5,21.5,0.5,2.0,0.5,23.0,0.6,113.8,1.7,0.4992,0.0969,0.5,0.1,16.5,0.2,0.1,0.1,17.6,0.2,152.8,3.1,0.4249,0.0533,1.0,0.4046,0.5439,0.5371,0.2952,0.5487,1000.0,2000.0,35.0,25.0,123.0,130.60231062820205,118.202,56.575,0.4166666666666667,0.2215189873417721,0.1689189189189189,9.214631676691746e-06,0.0002115023434459,0.001087052585064,0.9147630969517097,0.9831184306750664,0.6487256026001507,0.0491192289410205,0.174881959080787,0.1899364459122764,0.0021431917436491,0.0355377173342686,0.0360881978731785,0.0201424956321716,0.2942310571670532,0.2693300247192383,0.0,0.7168
eng,ceb,OPUS_bible,29084,bible,24.2,0.8,51.1,0.6,19.1,0.8,53.4,0.6,63.9,1.2,0.6779,0.065,2.8,0.4,20.3,0.7,2.5,0.5,22.1,0.7,91.3,1.5,0.5242,0.0747,23.4,0.8,50.3,0.7,18.7,0.8,52.5,0.6,64.6,1.1,0.677,0.0656,1.7,0.3,16.6,0.7,1.5,0.4,18.5,0.7,93.1,1.0,0.4836,0.088,34.1,0.9,58.3,0.7,27.5,1.0,60.2,0.6,54.6,1.1,0.7053,0.0664,30.5,0.9,55.8,0.7,25.2,0.9,57.8,0.7,55.5,1.0,0.6962,0.0674,16.7,0.6,42.9,0.5,12.4,0.7,44.8,0.5,76.6,1.9,0.6295,0.0674,1.0,0.4046,0.5439,0.5371,0.2952,0.5487,1000.0,1000.0,35.0,25.0,24.0,130.60231062820205,118.202,137.903,0.4166666666666667,0.4067796610169492,0.4897959183673469,9.214631676691746e-06,0.0002115023434459,0.0001740353726894,0.9147630969517097,0.8969095937832946,0.0463470511813708,0.0491192289410205,0.0530384903915426,0.022835054696789,0.0021431917436491,0.0020504754963451,0.0006112806664768,0.0201424956321716,0.0174903869628906,0.0049546957015991,0.0,0.7168
eng,amh,OPUS_Tanzil,11470,flores,0.4,0.1,7.1,0.2,0.0,0.0,8.8,0.2,149.2,3.2,0.5392,0.0735,3.1,0.3,11.8,0.5,0.8,0.2,13.0,0.5,129.7,5.0,0.5257,0.1655,0.6,0.1,6.8,0.2,0.0,0.0,8.3,0.3,162.5,6.1,0.5153,0.1131,7.7,0.5,19.4,0.5,2.5,0.4,21.0,0.5,93.6,2.4,0.655,0.1265,29.3,1.0,38.7,0.8,11.9,0.9,41.8,0.9,76.3,1.3,0.884,0.0615,29.3,1.0,37.3,0.9,12.2,0.9,40.2,1.0,75.7,1.2,0.8725,0.0856,0.1,0.1,5.7,0.1,0.0,0.0,7.2,0.1,145.2,3.5,0.5008,0.0568,1.0,0.2286,0.54,0.492,0.3277,0.5186,500.0,1012.0,237.0,197.0,268.0,65.73138622493461,32.4,70.45256916996047,0.4539170506912442,0.4257425742574257,0.4043010752688172,0.0003143490388479,0.0121604938271604,0.0037588712165839,0.948968178694531,0.8397365908010758,4.995873652897068,0.0718278932661902,0.2003473259455464,0.2009411787355939,0.0089957200030862,0.0580371290788067,0.0739815828311318,0.0240747332572937,0.404367446899414,0.3245386481285095,0.0,0.5779
eng,amh,OPUS_Tanzil,11470,MT560_OPUS_GlobalVoices,0.2,0.1,6.5,0.1,0.0,0.0,8.2,0.1,161.6,3.5,0.5602,0.0866,2.8,0.4,9.5,0.5,0.6,0.2,10.7,0.5,140.0,4.0,0.5379,0.1685,0.3,0.1,5.9,0.2,0.0,0.0,7.4,0.2,178.3,6.3,0.5402,0.1235,5.1,0.4,13.6,0.5,1.1,0.3,15.2,0.5,110.5,1.9,0.6369,0.1406,15.8,0.7,24.6,0.6,3.7,0.4,27.4,0.7,100.7,2.1,0.8399,0.1036,16.5,0.7,24.8,0.6,4.2,0.5,27.4,0.7,97.0,1.5,0.8385,0.1068,0.0,0.0,6.0,0.1,0.0,0.0,7.6,0.1,169.9,4.6,0.5263,0.0699,1.0,0.2286,0.54,0.492,0.3277,0.5186,500.0,1598.0,237.0,197.0,294.0,65.73138622493461,32.4,59.6107634543179,0.4539170506912442,0.4199623352165725,0.3910386965376782,0.0003143490388479,0.0121604938271604,0.003086354951815,0.948968178694531,0.8066712184134226,8.64408642659642,0.07182789326619,0.2268676520728922,0.2246738508739436,0.0089957200030862,0.0681039258026328,0.0707220492859694,0.0240747332572937,0.2967116236686706,0.2421952486038208,0.0,0.5779
eng,amh,OPUS_Tanzil,11470,MT560_OPUS100,67.8,1.7,72.9,1.5,63.6,1.8,72.7,1.5,36.3,2.2,0.8258,0.1716,0.3,0.1,5.1,0.2,0.0,0.0,5.8,0.2,162.4,4.0,0.4822,0.1641,38.3,1.2,44.1,1.1,30.1,1.2,44.0,1.1,64.7,2.3,0.7789,0.1653,2.1,0.2,11.3,0.3,0.3,0.3,13.1,0.3,101.3,1.3,0.637,0.1548,34.1,0.9,42.3,0.8,23.8,0.9,42.7,0.8,59.7,1.3,0.8267,0.1186,31.4,0.9,40.7,0.8,21.5,0.9,41.2,0.8,61.4,1.1,0.8287,0.1171,65.1,2.3,67.5,2.2,64.3,2.3,67.2,2.3,40.7,2.6,0.7975,0.1869,1.0,0.2286,0.54,0.492,0.3277,0.5186,500.0,1983.0,237.0,197.0,270.0,65.73138622493461,32.4,50.90166414523449,0.4539170506912442,0.4477317554240631,0.4197002141327623,0.0003143490388479,0.0121604938271604,0.0026749093502942,0.948968178694531,0.7787751125522981,12.575059672025684,0.0718278932661902,0.075334266381923,0.0986321894882651,0.0089957200030862,0.0018550215705415,0.0067937723239613,0.0240747332572937,0.0142990946769714,0.0122097730636596,0.0,0.5779
eng,amh,OPUS_Tanzil,11470,OPUS_Tanzil,33.8,3.1,41.2,2.6,27.8,3.0,40.2,2.8,67.8,4.5,0.8137,0.1191,0.0,0.0,4.2,0.4,0.0,0.0,4.8,0.4,161.7,11.2,0.5035,0.1479,19.4,1.9,26.9,1.7,13.7,1.8,25.9,1.8,74.8,2.5,0.7886,0.108,0.8,0.6,8.2,0.5,0.0,0.0,9.4,0.6,106.1,6.1,0.6476,0.1295,23.2,1.9,31.8,1.8,15.1,1.9,31.2,1.9,69.2,2.6,0.8211,0.1059,21.1,1.9,30.3,1.9,13.9,1.8,29.7,2.0,69.1,2.2,0.8171,0.1056,30.4,3.7,36.8,3.5,28.8,3.7,35.3,3.6,74.3,4.9,0.7664,0.1499,1.0,0.2286,0.54,0.492,0.3277,0.5186,500.0,500.0,237.0,197.0,195.0,65.73138622493461,32.4,22.454,0.4539170506912442,0.4513888888888889,0.4821428571428571,0.0003143490388479,0.0121604938271604,0.0173688429678453,0.948968178694531,0.964130664878157,0.0899204354463011,0.0718278932661902,0.0953848226251292,0.08047178442835,0.0089957200030862,0.0147956268908994,0.0100834469032424,0.0240747332572937,0.0390197038650512,0.0054842829704284,0.0,0.5779
eng,amh,OPUS_Tanzil,11470,bible,1.6,0.2,10.5,0.3,0.0,0.0,12.8,0.3,179.8,4.3,0.6701,0.0804,0.2,0.1,5.0,0.3,0.0,0.0,5.9,0.3,205.2,7.8,0.4011,0.1352,3.2,0.3,12.2,0.3,0.3,0.1,14.5,0.4,135.7,3.2,0.698,0.0956,2.1,0.2,13.8,0.5,0.5,0.4,15.8,0.5,118.3,3.8,0.6325,0.1382,31.1,1.2,39.7,1.1,14.5,1.1,42.8,1.1,74.5,1.5,0.8816,0.0615,27.4,1.1,35.9,1.0,11.2,1.0,38.9,1.0,79.6,1.5,0.8793,0.0577,0.1,0.1,6.2,0.1,0.0,0.0,8.0,0.2,148.2,3.3,0.5943,0.07,1.0,0.2286,0.54,0.492,0.3277,0.5186,500.0,1000.0,237.0,197.0,212.0,65.73138622493461,32.4,62.492,0.4539170506912442,0.4342984409799554,0.432762836185819,0.0003143490388479,0.0121604938271604,0.0033924342315816,0.948968178694531,0.8232626217134551,6.680117665588308,0.0718278932661902,0.152856051758469,0.1623949586862652,0.0089957200030862,0.0361749559331444,0.0362284629601546,0.0240747332572937,0.0268320441246032,0.0350289940834045,0.0,0.5779
