source_lang,target_lang,genetic,geographic,syntactic,inventory,phonological,featural,morphological
sinh1246,stan1293,[0.9047],[0.3273],[0.7175],[0.4991],[0.3695],[0.6289],[0.6465]
stan1293,cebu1242,[1.0],[0.4046],[0.6722],[0.5371],[0.3141],[0.634],[0.7854]
stan1293,amha1245,[1.0],[0.2286],[0.6696],[0.492],[0.3578],[0.6125],[0.6783]
faro1244,stan1293,[0.7323],[0.044],[0.561],[0.4812],[0.2566],[0.5613],[0.7684]
stan1293,nucl1235,[0.8767],[0.1503],[0.6576],[0.5064],[0.4413],[0.6207],[0.7211]
stan1293,kirg1245,[1.0],[0.2167],[0.7264],[0.5503],[0.3931],[0.6498],[0.6667]
stan1293,haus1257,[1.0],[0.1885],[0.567],[0.5337],[0.4225],[0.5704],[0.6892]
amha1245,stan1293,[1.0],[0.2286],[0.6696],[0.492],[0.3578],[0.6125],[0.6783]
stan1293,sind1272,[0.9131],[0.2493],[0.6791],[0.494],[0.3418],[0.6135],[0.6983]
taga1270,stan1293,[1.0],[0.3864],[0.6671],[0.461],[0.3141],[0.6188],[0.8116]
stan1293,nucl1417,[1.0],[0.2142],[0.6655],[0.4772],[0.4413],[0.6191],[0.7854]
stan1293,cent1989,[1.0],[0.3638],[0.6388],[0.5101],[0.5184],[0.6222],[0.8099]
lomb1257,stan1293,[0.9359],[0.0449],[0.5603],[0.4911],[0.2566],[0.549],[0.6658]
stan1293,ewee1241,[1.0],[0.2049],[0.6724],[0.5249],[0.4697],[0.6328],[0.7553]
stan1293,sinh1246,[0.9047],[0.3273],[0.7175],[0.4991],[0.3695],[0.6289],[0.6465]
stan1293,tami1289,[1.0],[0.3158],[0.7352],[0.5014],[0.1789],[0.6387],[0.6854]
egyp1253,stan1293,[1.0],[0.1433],[0.6668],[0.4688],[0.3743],[0.6071],[0.7015]
stan1293,plat1254,[1.0],[0.3437],[0.7134],[0.5093],[0.2513],[0.6471],[0.7509]
stan1293,luxe1241,[0.6336],[0.0255],[0.7886],[0.7857],[0.7434],[0.7964],[0.8869]
stan1293,mara1378,[0.9131],[0.2901],[0.6802],[0.4513],[0.319],[0.6164],[0.754]
kaza1248,stan1293,[1.0],[0.1977],[0.8957],[0.5879],[0.5741],[0.7751],[0.6736]
stan1293,xhos1239,[1.0],[0.3573],[0.7],[0.5032],[0.3931],[0.6443],[0.7604]
zulu1248,stan1293,[1.0],[0.3423],[0.7158],[0.5582],[0.4918],[0.6801],[0.8174]
mara1378,stan1293,[0.9131],[0.2901],[0.6802],[0.4513],[0.319],[0.6164],[0.754]
stan1293,kaza1248,[1.0],[0.1977],[0.8957],[0.5879],[0.5741],[0.7751],[0.6736]
stan1293,panj1256,[0.9131],[0.2534],[0.6682],[0.4336],[0.2513],[0.5989],[0.7244]
nucl1235,stan1293,[0.8767],[0.1503],[0.6576],[0.5064],[0.4413],[0.6207],[0.7211]
xhos1239,stan1293,[1.0],[0.3573],[0.7],[0.5032],[0.3931],[0.6443],[0.7604]
nucl1305,stan1293,[1.0],[0.3013],[0.7362],[0.4738],[0.2566],[0.6345],[0.6629]
