source_lang,target_lang,genetic,geographic,syntactic,inventory,phonological,featural,morphological
sinh1246,stan1293,[0.9047],[0.3273],[0.5959],[0.4991],[0.2804],[0.4949],
stan1293,cebu1242,[1.0],[0.4046],[0.5439],[0.5371],[0.2952],[0.5487],[0.7168]
stan1293,amha1245,[1.0],[0.2286],[0.54],[0.492],[0.3277],[0.5186],[0.5779]
faro1244,stan1293,[0.7323],[0.044],[0.4094],,,[0.5033],[0.7106]
stan1293,nucl1235,[0.8767],[0.1503],[0.5791],[0.5064],[0.4816],[0.5645],[0.6394]
stan1293,kirg1245,[1.0],[0.2167],[0.5996],[0.5503],[0.409],[0.542],
stan1293,haus1257,[1.0],[0.1885],[0.3986],[0.5337],[0.409],[0.4752],[0.5884]
amha1245,stan1293,[1.0],[0.2286],[0.54],[0.492],[0.3277],[0.5186],[0.5779]
stan1293,sind1272,[0.9131],[0.2493],,[0.494],[0.3695],[0.4753],
taga1270,stan1293,[1.0],[0.3864],[0.5873],[0.461],[0.3277],[0.55],[0.763]
stan1293,nucl1417,[1.0],[0.2142],[0.5454],[0.4772],[0.409],[0.5369],[0.7323]
stan1293,cent1989,[1.0],[0.3638],[0.5841],[0.5101],[0.4934],[0.5737],[0.7532]
lomb1257,stan1293,[0.9359],[0.0449],[0.4398],,,[0.486],[0.5754]
stan1293,ewee1241,[1.0],[0.2049],[0.5778],[0.5249],[0.4161],[0.5588],[0.6881]
stan1293,sinh1246,[0.9047],[0.3273],[0.5959],[0.4991],[0.2804],[0.4949],
stan1293,tami1289,[1.0],[0.3158],[0.6755],[0.5014],[0.0],[0.5779],[0.6018]
egyp1253,stan1293,[1.0],[0.1433],[0.5854],[0.4688],[0.3881],[0.5373],[0.6018]
stan1293,plat1254,[1.0],[0.3437],[0.6307],[0.5093],[0.2617],[0.5677],[0.6644]
stan1293,luxe1241,[0.6336],[0.0255],[0.3613],,[0.0],[0.3613],
stan1293,mara1378,[0.9131],[0.2901],[0.6224],[0.4513],[0.369],[0.5635],[0.6836]
kaza1248,stan1293,[1.0],[0.1977],[0.6667],,[0.0],[0.5354],
stan1293,xhos1239,[1.0],[0.3573],[0.6421],[0.5032],[0.3433],[0.5768],[0.6632]
zulu1248,stan1293,[1.0],[0.3423],[0.6502],[0.5582],[0.4646],[0.5985],[0.6827]
mara1378,stan1293,[0.9131],[0.2901],[0.6224],[0.4513],[0.369],[0.5635],[0.6836]
stan1293,kaza1248,[1.0],[0.1977],[0.6667],,[0.0],[0.5354],
stan1293,panj1256,[0.9131],[0.2534],[0.5871],[0.4336],[0.2048],[0.5332],[0.6534]
nucl1235,stan1293,[0.8767],[0.1503],[0.5791],[0.5064],[0.4816],[0.5645],[0.6394]
xhos1239,stan1293,[1.0],[0.3573],[0.6421],[0.5032],[0.3433],[0.5768],[0.6632]
nucl1305,stan1293,[1.0],[0.3013],[0.6682],[0.4738],[0.1864],[0.5713],[0.6007]
stan1293,egyp1253,[1.0],[0.1433],[0.5854],[0.4688],[0.3881],[0.5373],[0.6018]
nucl1310,stan1293,[1.0],[0.319],[0.6849],[0.3323],[0.2468],[0.5498],[0.649]
java1254,stan1293,[1.0],[0.4052],[0.5449],[0.4438],[0.4054],[0.5139],[0.804]
stan1293,nucl1310,[1.0],[0.319],[0.6849],[0.3323],[0.2468],[0.5498],[0.649]
tami1289,stan1293,[1.0],[0.3158],[0.6755],[0.5014],[0.0],[0.5779],[0.6018]
tata1255,stan1293,[1.0],[0.1323],[0.6205],,[0.0],[0.6082],[0.5999]
stan1293,nucl1302,[1.0],[0.154],[0.5903],[0.5667],[0.4878],[0.5952],[0.6712]
stan1293,yoru1245,[1.0],[0.2026],[0.603],[0.5093],[0.4788],[0.541],
stan1293,tata1255,[1.0],[0.1323],[0.6205],,[0.0],[0.6082],[0.5999]
stan1293,taga1270,[1.0],[0.3864],[0.5873],[0.461],[0.3277],[0.55],[0.763]
stan1293,indo1316,[1.0],[0.4185],[0.5143],[0.4546],[0.2617],[0.4961],[0.7168]
afri1274,stan1293,[0.6638],[0.3303],[0.4873],[0.4774],[0.39],[0.4736],[0.4359]
indo1316,stan1293,[1.0],[0.4185],[0.5143],[0.4546],[0.2617],[0.4961],[0.7168]
soma1255,stan1293,[1.0],[0.2629],[0.5873],[0.4645],[0.439],[0.5187],[0.4842]
yoru1245,stan1293,[1.0],[0.2026],[0.603],[0.5093],[0.4788],[0.541],
stan1293,guja1252,[0.9196],[0.2639],[0.5456],[0.4753],[0.2048],[0.4696],
nucl1347,stan1293,[1.0],[0.1752],[0.4462],[0.4731],[0.3881],[0.4956],[0.7261]
stan1293,wels1247,[0.9131],[0.0095],[0.4924],,,[0.5383],[0.6854]
bela1254,stan1293,[0.8934],[0.0725],[0.5256],,,[0.5608],[0.6267]
stan1293,occi1239,[0.9359],[0.0469],[0.4169],,,[0.4762],[0.6068]
wels1247,stan1293,[0.9131],[0.0095],[0.4924],,,[0.5383],[0.6854]
stan1293,nucl1305,[1.0],[0.3013],[0.6682],[0.4738],[0.1864],[0.5713],[0.6007]
swat1243,stan1293,[1.0],[0.3446],[0.4744],,,[0.4744],
stan1293,lomb1257,[0.9359],[0.0449],[0.4398],,,[0.486],[0.5754]
guja1252,stan1293,[0.9196],[0.2639],[0.5456],[0.4753],[0.2048],[0.4696],
stan1293,afri1274,[0.6638],[0.3303],[0.4873],[0.4774],[0.39],[0.4736],[0.4359]
stan1293,swat1243,[1.0],[0.3446],[0.4744],,,[0.4744],
stan1293,zulu1248,[1.0],[0.3423],[0.6502],[0.5582],[0.4646],[0.5985],[0.6827]
stan1293,bash1264,[1.0],[0.15],[0.6519],[0.4286],[0.3333],[0.5414],[0.5933]
ewee1241,stan1293,[1.0],[0.2049],[0.5778],[0.5249],[0.4161],[0.5588],[0.6881]
cent1989,stan1293,[1.0],[0.3638],[0.5841],[0.5101],[0.4934],[0.5737],[0.7532]
bash1264,stan1293,[1.0],[0.15],[0.6519],[0.4286],[0.3333],[0.5414],[0.5933]
stan1293,java1254,[1.0],[0.4052],[0.5449],[0.4438],[0.4054],[0.5139],[0.804]
stan1293,soma1255,[1.0],[0.2629],[0.5873],[0.4645],[0.439],[0.5187],[0.4842]
stan1293,sout2832,[1.0],[0.2191],,,,,
plat1254,stan1293,[1.0],[0.3437],[0.6307],[0.5093],[0.2617],[0.5677],[0.6644]
nucl1302,stan1293,[1.0],[0.154],[0.5903],[0.5667],[0.4878],[0.5952],[0.6712]
haus1257,stan1293,[1.0],[0.1885],[0.3986],[0.5337],[0.409],[0.4752],[0.5884]
stan1293,chha1249,[0.9131],[0.2951],,,,,
panj1256,stan1293,[0.9131],[0.2534],[0.5871],[0.4336],[0.2048],[0.5332],[0.6534]
stan1293,faro1244,[0.7323],[0.044],[0.4094],,,[0.5033],[0.7106]
stan1293,turk1304,[1.0],[0.1941],[0.6603],,[0.0],[0.6391],[0.616]
cebu1242,stan1293,[1.0],[0.4046],[0.5439],[0.5371],[0.2952],[0.5487],[0.7168]
stan1293,bela1254,[0.8934],[0.0725],[0.5256],,,[0.5608],[0.6267]
stan1293,kiny1244,[1.0],[0.2595],[0.6351],[0.5182],[0.5064],[0.5471],
occi1239,stan1293,[0.9359],[0.0469],[0.4169],,,[0.4762],[0.6068]
sind1272,stan1293,[0.9131],[0.2493],,[0.494],[0.3695],[0.4753],
stan1293,maor1246,[1.0],[0.5179],[0.574],[0.6198],[0.5988],[0.6163],[0.7506]
kiny1244,stan1293,[1.0],[0.2595],[0.6351],[0.5182],[0.5064],[0.5471],
shon1251,stan1293,[1.0],[0.3141],[0.6449],[0.5348],[0.4097],[0.6071],[0.7223]
maor1246,stan1293,[1.0],[0.5179],[0.574],[0.6198],[0.5988],[0.6163],[0.7506]
turk1304,stan1293,[1.0],[0.1941],[0.6603],,[0.0],[0.6391],[0.616]
chha1249,stan1293,[0.9131],[0.2951],,,,,
sout2832,stan1293,[1.0],[0.2191],,,,,
luxe1241,stan1293,[0.6336],[0.0255],[0.3613],,[0.0],[0.3613],
nucl1417,stan1293,[1.0],[0.2142],[0.5454],[0.4772],[0.409],[0.5369],[0.7323]
stan1293,shon1251,[1.0],[0.3141],[0.6449],[0.5348],[0.4097],[0.6071],[0.7223]
kirg1245,stan1293,[1.0],[0.2167],[0.5996],[0.5503],[0.409],[0.542],
