Source Language,Target Language,Genetic Distance,Geographic Distance,Syntactic Distance,Inventory Distance,Phonological Distance,Morphological Distance,Featural Distance
sinh1246,stan1293,[0.9047],[0.3273],[0.5747],[0.4991],[0.5169],[0.5967],[0.5686]
stan1293,cebu1242,[1.0],[0.4046],[0.5918],[0.5371],[0.4095],[0.7008],[0.596]
stan1293,amha1245,[1.0],[0.2286],[0.5904],[0.492],[0.4905],[0.5903],[0.5785]
faro1244,stan1293,[0.7323],[0.044],[0.4353],[0.4812],[0.3352],[0.5496],[0.463]
stan1293,nucl1235,[0.8767],[0.1503],[0.522],[0.5064],[0.437],[0.5387],[0.5237]
stan1293,kirg1245,[1.0],[0.2167],[0.5237],[0.5503],[0.3811],[0.507],[0.5181]
stan1293,haus1257,[1.0],[0.1885],[0.5175],[0.5337],[0.4278],[0.6897],[0.5486]
amha1245,stan1293,[1.0],[0.2286],[0.5904],[0.492],[0.4905],[0.5903],[0.5785]
stan1293,sind1272,[0.9131],[0.2493],[0.6393],[0.494],[0.6119],[0.7087],[0.6268]
taga1270,stan1293,[1.0],[0.3864],[0.5042],[0.461],[0.3352],[0.6667],[0.5212]
stan1293,nucl1417,[1.0],[0.2142],[0.6735],[0.4772],[0.5723],[0.7436],[0.6555]
stan1293,cent1989,[1.0],[0.3638],[0.6929],[0.5101],[0.6992],[0.7877],[0.683]
lomb1257,stan1293,[0.9359],[0.0449],[0.4488],[0.4807],[0.3207],[0.4673],[0.4533]
stan1293,ewee1241,[1.0],[0.2049],[0.6887],[0.5249],[0.5936],[0.7593],[0.6729]
stan1293,sinh1246,[0.9047],[0.3273],[0.5747],[0.4991],[0.5169],[0.5967],[0.5686]
stan1293,tami1289,[1.0],[0.3158],[0.5712],[0.5014],[0.389],[0.5353],[0.5467]
egyp1253,stan1293,[1.0],[0.1433],[0.5277],[0.4688],[0.3811],[0.5398],[0.5165]
stan1293,plat1254,[1.0],[0.3437],[0.5726],[0.5093],[0.3288],[0.6447],[0.5671]
stan1293,luxe1241,[0.6336],[0.0255],[0.5733],[0.4928],[0.2352],[0.6737],[0.5677]
stan1293,mara1378,[0.9131],[0.2901],[0.5703],[0.4513],[0.4335],[0.5974],[0.5518]
kaza1248,stan1293,[1.0],[0.1977],[0.7162],[0.4928],[0.5603],[0.71],[0.6875]
stan1293,xhos1239,[1.0],[0.3573],[0.6421],[0.5032],[0.5727],[0.7191],[0.6377]
zulu1248,stan1293,[1.0],[0.3423],[0.6563],[0.5582],[0.6418],[0.7296],[0.6599]
mara1378,stan1293,[0.9131],[0.2901],[0.5703],[0.4513],[0.4335],[0.5974],[0.5518]
stan1293,kaza1248,[1.0],[0.1977],[0.7162],[0.4928],[0.5603],[0.71],[0.6875]
stan1293,panj1256,[0.9131],[0.2534],[0.5703],[0.4336],[0.5349],[0.6102],[0.5563]
nucl1235,stan1293,[0.8767],[0.1503],[0.522],[0.5064],[0.437],[0.5387],[0.5237]
xhos1239,stan1293,[1.0],[0.3573],[0.6421],[0.5032],[0.5727],[0.7191],[0.6377]
nucl1305,stan1293,[1.0],[0.3013],[0.5975],[0.4738],[0.5588],[0.5903],[0.5814]
stan1293,egyp1253,[1.0],[0.1433],[0.5277],[0.4688],[0.3811],[0.5398],[0.5165]
nucl1310,stan1293,[1.0],[0.319],[0.6945],[0.3323],[0.6055],[0.6663],[0.6421]
java1254,stan1293,[1.0],[0.4052],[0.6751],[0.4438],[0.6891],[0.7729],[0.6577]
stan1293,nucl1310,[1.0],[0.319],[0.6945],[0.3323],[0.6055],[0.6663],[0.6421]
tami1289,stan1293,[1.0],[0.3158],[0.5712],[0.5014],[0.389],[0.5353],[0.5467]
tata1255,stan1293,[1.0],[0.1323],[0.5824],[0.4496],[0.437],[0.5605],[0.5545]
stan1293,nucl1302,[1.0],[0.154],[0.5638],[0.5667],[0.5328],[0.5936],[0.5758]
stan1293,yoru1245,[1.0],[0.2026],[0.6574],[0.5093],[0.622],[0.7462],[0.655]
stan1293,tata1255,[1.0],[0.1323],[0.5824],[0.4496],[0.437],[0.5605],[0.5545]
stan1293,taga1270,[1.0],[0.3864],[0.5042],[0.461],[0.3352],[0.6667],[0.5212]
stan1293,indo1316,[1.0],[0.4185],[0.6373],[0.4546],[0.5069],[0.7397],[0.6236]
afri1274,stan1293,[0.6638],[0.3303],[0.6606],[0.5144],[0.6912],[0.6716],[0.6586]
indo1316,stan1293,[1.0],[0.4185],[0.6373],[0.4546],[0.5069],[0.7397],[0.6236]
soma1255,stan1293,[1.0],[0.2629],[0.5188],[0.4645],[0.4004],[0.4721],[0.497]
yoru1245,stan1293,[1.0],[0.2026],[0.6574],[0.5093],[0.622],[0.7462],[0.655]
stan1293,guja1252,[0.9196],[0.2639],[0.6854],[0.4753],[0.6587],[0.6737],[0.6547]
nucl1347,stan1293,[1.0],[0.1752],[0.5666],[0.4731],[0.4792],[0.6851],[0.5733]
stan1293,wels1247,[0.9131],[0.0095],[0.4993],[0.5141],[0.3352],[0.5448],[0.5077]
bela1254,stan1293,[0.8934],[0.0725],[0.4761],[0.4866],[0.4004],[0.5189],[0.4853]
stan1293,occi1239,[0.9359],[0.0469],[0.4701],[0.5207],[0.3288],[0.5049],[0.4801]
