Source Language,Target Language,Genetic Distance,Geographic Distance,Syntactic Distance,Inventory Distance,Featural Distance
indo1316,java1254,[0.6854],[0.0314],[0.2733],[0.3606],[0.3624]
indo1316,nucl1460,[0.5641],[0.015],[0.3481],[0.4158],[0.4045]
indo1316,maka1311,[0.7149],[0.0466],[0.5354],[0.3516],[0.4698]
indo1316,mina1268,[0.3217],[0.0804],[0.4952],[0.2541],[0.4219]
indo1316,sund1252,[0.5641],[0.012],[0.4533],[0.3483],[0.4506]
java1254,indo1316,[0.6854],[0.0314],[0.2733],[0.3606],[0.3624]
java1254,nucl1460,[0.5903],[0.031],[0.3141],[0.3285],[0.3225]
java1254,maka1311,[0.631],[0.0469],[0.5231],[0.4722],[0.5232]
java1254,mina1268,[0.6854],[0.07],[0.4983],[0.3871],[0.4411]
java1254,sund1252,[0.5903],[0.0337],[0.5096],[0.4477],[0.482]
nucl1460,indo1316,[0.5641],[0.015],[0.3481],[0.4158],[0.4045]
nucl1460,java1254,[0.5903],[0.031],[0.3141],[0.3285],[0.3225]
nucl1460,maka1311,[0.631],[0.0317],[0.5069],[0.435],[0.5074]
nucl1460,mina1268,[0.5641],[0.0912],[0.5574],[0.4664],[0.5073]
nucl1460,sund1252,[0.4097],[0.0268],[0.5459],[0.3806],[0.4895]
maka1311,indo1316,[0.7149],[0.0466],[0.5354],[0.3516],[0.4698]
maka1311,java1254,[0.631],[0.0469],[0.5231],[0.4722],[0.5232]
maka1311,nucl1460,[0.631],[0.0317],[0.5069],[0.435],[0.5074]
maka1311,mina1268,[0.7149],[0.1151],[0.5603],[0.2839],[0.4711]
maka1311,sund1252,[0.631],[0.058],[0.6128],[0.4093],[0.5472]
mina1268,indo1316,[0.3217],[0.0804],[0.4952],[0.2541],[0.4219]
mina1268,java1254,[0.6854],[0.07],[0.4983],[0.3871],[0.4411]
mina1268,nucl1460,[0.5641],[0.0912],[0.5574],[0.4664],[0.5073]
mina1268,maka1311,[0.7149],[0.1151],[0.5603],[0.2839],[0.4711]
mina1268,sund1252,[0.5641],[0.0705],[0.466],[0.4154],[0.4491]
sund1252,indo1316,[0.5641],[0.012],[0.4533],[0.3483],[0.4506]
sund1252,java1254,[0.5903],[0.0337],[0.5096],[0.4477],[0.482]
sund1252,nucl1460,[0.4097],[0.0268],[0.5459],[0.3806],[0.4895]
sund1252,maka1311,[0.631],[0.058],[0.6128],[0.4093],[0.5472]
sund1252,mina1268,[0.5641],[0.0705],[0.466],[0.4154],[0.4491]
