Source Language,Target Language,Genetic Distance,Geographic Distance,Syntactic Distance,Inventory Distance,Phonological Distance,Morphological Distance,Featural Distance
beta1252,bima1247,[0.6854],[0.0528],[0.7372],[0.3184],[0.6123],[0.6393],[0.6734]
beta1252,indo1316,[0.3217],[0.0133],[0.5],[0.3259],[0.4928],[0.3936],[0.4662]
beta1252,java1254,[0.6854],[0.0313],[0.4153],[0.3606],[0.4638],[0.3173],[0.3973]
beta1252,nucl1460,[0.5641],[0.0274],[0.5647],[0.3907],[0.5353],[0.4142],[0.5161]
beta1252,maka1311,[0.7149],[0.0581],[0.5873],[0.3516],[0.5879],[0.5562],[0.5597]
beta1252,mina1268,[0.3217],[0.0681],[0.4924],[0.3623],[0.5198],[0.3605],[0.4621]
beta1252,sund1252,[0.5641],[0.0032],[0.4051],[0.3483],[0.3985],[0.3437],[0.3887]
bima1247,beta1252,[0.6854],[0.0528],[0.7372],[0.3184],[0.6123],[0.6393],[0.6734]
bima1247,indo1316,[0.6854],[0.0399],[0.6383],[0.3542],[0.4601],[0.6443],[0.5966]
bima1247,java1254,[0.5903],[0.0501],[0.6711],[0.4259],[0.5784],[0.649],[0.635]
bima1247,nucl1460,[0.5903],[0.0257],[0.575],[0.4622],[0.4639],[0.5617],[0.5531]
bima1247,maka1311,[0.631],[0.0148],[0.6072],[0.3162],[0.5195],[0.6035],[0.575]
bima1247,mina1268,[0.6854],[0.1152],[0.6314],[0.3258],[0.441],[0.671],[0.5956]
bima1247,sund1252,[0.5903],[0.0518],[0.68],[0.4144],[0.5064],[0.7339],[0.6471]
indo1316,beta1252,[0.3217],[0.0133],[0.5],[0.3259],[0.4928],[0.3936],[0.4662]
indo1316,bima1247,[0.6854],[0.0399],[0.6383],[0.3542],[0.4601],[0.6443],[0.5966]
indo1316,java1254,[0.6854],[0.0314],[0.4],[0.3606],[0.4278],[0.3887],[0.3976]
indo1316,nucl1460,[0.5641],[0.015],[0.5194],[0.4158],[0.366],[0.4933],[0.4938]
indo1316,maka1311,[0.7149],[0.0466],[0.4246],[0.3516],[0.4717],[0.4663],[0.4227]
indo1316,mina1268,[0.3217],[0.0804],[0.4096],[0.2541],[0.3255],[0.4244],[0.3847]
indo1316,sund1252,[0.5641],[0.012],[0.4573],[0.3483],[0.4097],[0.4653],[0.4405]
java1254,beta1252,[0.6854],[0.0313],[0.4153],[0.3606],[0.4638],[0.3173],[0.3973]
java1254,bima1247,[0.5903],[0.0501],[0.6711],[0.4259],[0.5784],[0.649],[0.635]
java1254,indo1316,[0.6854],[0.0314],[0.4],[0.3606],[0.4278],[0.3887],[0.3976]
java1254,nucl1460,[0.5903],[0.031],[0.4644],[0.3285],[0.4285],[0.434],[0.437]
java1254,maka1311,[0.631],[0.0469],[0.5188],[0.4722],[0.5988],[0.5328],[0.5222]
java1254,mina1268,[0.6854],[0.07],[0.4209],[0.3871],[0.4065],[0.2955],[0.4007]
java1254,sund1252,[0.5903],[0.0337],[0.4404],[0.4477],[0.3668],[0.397],[0.4297]
nucl1460,beta1252,[0.5641],[0.0274],[0.5647],[0.3907],[0.5353],[0.4142],[0.5161]
nucl1460,bima1247,[0.5903],[0.0257],[0.575],[0.4622],[0.4639],[0.5617],[0.5531]
nucl1460,indo1316,[0.5641],[0.015],[0.5194],[0.4158],[0.366],[0.4933],[0.4938]
nucl1460,java1254,[0.5903],[0.031],[0.4644],[0.3285],[0.4285],[0.434],[0.437]
nucl1460,maka1311,[0.631],[0.0317],[0.5699],[0.435],[0.5588],[0.6253],[0.5652]
nucl1460,mina1268,[0.5641],[0.0912],[0.4977],[0.4664],[0.3954],[0.4874],[0.4869]
nucl1460,sund1252,[0.4097],[0.0268],[0.514],[0.3806],[0.4174],[0.548],[0.4938]
maka1311,beta1252,[0.7149],[0.0581],[0.5873],[0.3516],[0.5879],[0.5562],[0.5597]
maka1311,bima1247,[0.631],[0.0148],[0.6072],[0.3162],[0.5195],[0.6035],[0.575]
maka1311,indo1316,[0.7149],[0.0466],[0.4246],[0.3516],[0.4717],[0.4663],[0.4227]
maka1311,java1254,[0.631],[0.0469],[0.5188],[0.4722],[0.5988],[0.5328],[0.5222]
maka1311,nucl1460,[0.631],[0.0317],[0.5699],[0.435],[0.5588],[0.6253],[0.5652]
maka1311,mina1268,[0.7149],[0.1151],[0.4648],[0.2839],[0.3977],[0.5394],[0.4525]
maka1311,sund1252,[0.631],[0.058],[0.5647],[0.4093],[0.4717],[0.6096],[0.5476]
mina1268,beta1252,[0.3217],[0.0681],[0.4924],[0.3623],[0.5198],[0.3605],[0.4621]
mina1268,bima1247,[0.6854],[0.1152],[0.6314],[0.3258],[0.441],[0.671],[0.5956]
mina1268,indo1316,[0.3217],[0.0804],[0.4096],[0.2541],[0.3255],[0.4244],[0.3847]
mina1268,java1254,[0.6854],[0.07],[0.4209],[0.3871],[0.4065],[0.2955],[0.4007]
mina1268,nucl1460,[0.5641],[0.0912],[0.4977],[0.4664],[0.3954],[0.4874],[0.4869]
mina1268,maka1311,[0.7149],[0.1151],[0.4648],[0.2839],[0.3977],[0.5394],[0.4525]
mina1268,sund1252,[0.5641],[0.0705],[0.4806],[0.4154],[0.3255],[0.4073],[0.4534]
sund1252,beta1252,[0.5641],[0.0032],[0.4051],[0.3483],[0.3985],[0.3437],[0.3887]
sund1252,bima1247,[0.5903],[0.0518],[0.68],[0.4144],[0.5064],[0.7339],[0.6471]
sund1252,indo1316,[0.5641],[0.012],[0.4573],[0.3483],[0.4097],[0.4653],[0.4405]
sund1252,java1254,[0.5903],[0.0337],[0.4404],[0.4477],[0.3668],[0.397],[0.4297]
sund1252,nucl1460,[0.4097],[0.0268],[0.514],[0.3806],[0.4174],[0.548],[0.4938]
sund1252,maka1311,[0.631],[0.058],[0.5647],[0.4093],[0.4717],[0.6096],[0.5476]
sund1252,mina1268,[0.5641],[0.0705],[0.4806],[0.4154],[0.3255],[0.4073],[0.4534]
