source_lang,target_lang,genetic,geographic,syntactic,inventory,phonological,featural,morphological
sinh1246,stan1293,0.9047,0.3273,0.7145,0.4991,0.319,0.6246,0.6401
stan1293,cebu1242,1.0,0.4046,0.6678,0.5371,0.2566,0.629,0.7818
stan1293,amha1245,1.0,0.2286,0.6721,0.492,0.3578,0.6143,0.6785
faro1244,stan1293,0.7323,0.044,0.561,0.5158,0.319,0.5716,0.7646
stan1293,nucl1235,0.8767,0.1503,0.6597,0.5064,0.4685,0.6223,0.7163
stan1293,kirg1245,1.0,0.2167,0.726,0.5503,0.3931,0.6505,0.6707
stan1293,haus1257,1.0,0.1885,0.5635,0.5337,0.4225,0.565,0.6645
amha1245,stan1293,1.0,0.2286,0.6721,0.492,0.3578,0.6143,0.6785
stan1293,sind1272,0.9131,0.2493,0.7023,0.494,0.3418,0.6236,0.693
taga1270,stan1293,1.0,0.3864,0.6721,0.461,0.3141,0.6223,0.8137
stan1293,nucl1417,1.0,0.2142,0.6773,0.4772,0.4413,0.6242,0.7818
stan1293,cent1989,1.0,0.3638,0.6443,0.5101,0.5184,0.6224,0.7986
lomb1257,stan1293,0.9359,0.0449,0.5603,0.4697,0.2566,0.5431,0.6599
stan1293,ewee1241,1.0,0.2049,0.6724,0.5249,0.4697,0.6319,0.7512
stan1293,sinh1246,0.9047,0.3273,0.7145,0.4991,0.319,0.6246,0.6401
stan1293,tami1289,1.0,0.3158,0.7352,0.5014,0.1789,0.6378,0.6799
egyp1253,stan1293,1.0,0.1433,0.6693,0.4688,0.3743,0.6101,0.7145
stan1293,plat1254,1.0,0.3437,0.7215,0.5093,0.2513,0.6491,0.7414
stan1293,luxe1241,0.6336,0.0255,0.7886,0.7678,0.7434,0.7912,0.885
stan1293,mara1378,0.9131,0.2901,0.6855,0.4513,0.319,0.6182,0.7498
kaza1248,stan1293,1.0,0.1977,0.8957,0.576,0.5741,0.7703,0.6792
stan1293,xhos1239,1.0,0.3573,0.7,0.5032,0.3931,0.6434,0.7564
zulu1248,stan1293,1.0,0.3423,0.7103,0.5582,0.4918,0.674,0.8063
mara1378,stan1293,0.9131,0.2901,0.6855,0.4513,0.319,0.6182,0.7498
stan1293,kaza1248,1.0,0.1977,0.8957,0.576,0.5741,0.7703,0.6792
stan1293,panj1256,0.9131,0.2534,0.6784,0.4336,0.2513,0.6031,0.7196
nucl1235,stan1293,0.8767,0.1503,0.6597,0.5064,0.4685,0.6223,0.7163
xhos1239,stan1293,1.0,0.3573,0.7,0.5032,0.3931,0.6434,0.7564
nucl1305,stan1293,1.0,0.3013,0.7362,0.4738,0.2566,0.6336,0.6569
stan1293,egyp1253,1.0,0.1433,0.6693,0.4688,0.3743,0.6101,0.7145
nucl1310,stan1293,1.0,0.319,0.7446,0.3323,0.3021,0.6197,0.7162
java1254,stan1293,1.0,0.4052,0.6407,0.4438,0.409,0.5965,0.7986
stan1293,nucl1310,1.0,0.319,0.7446,0.3323,0.3021,0.6197,0.7162
tami1289,stan1293,1.0,0.3158,0.7352,0.5014,0.1789,0.6378,0.6799
